"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1974-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","23902","","","","0"
"1975-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19251","","","","0"
"1975-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","14791","","","","0"
"1975-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","25109","","","","0"
"1975-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21786","","","","0"
"1976-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18113","","","","0"
"1976-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16709","","","","0"
"1976-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","30923","","","","0"
"1976-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19713","","","","0"
"1977-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16684","","","","0"
"1977-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18867","","","","0"
"1977-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","35172","","","","0"
"1977-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","22332","","","","0"
"1978-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18908","","","","0"
"1978-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","21413","","","","0"
"1978-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","31181","","","","0"
"1978-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19892","","","","0"
"1979-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","16912","","","","0"
"1979-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19140","","","","0"
"1979-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","28472","","","","0"
"1979-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18171","","","","0"
"1980-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15444","","","","0"
"1980-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17469","","","","0"
"1980-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","27308","","","","0"
"1980-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17622","","","","0"
"1981-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","15123","","","","0"
"1981-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17037","","","","0"
"1981-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","27757","","","","0"
"1981-10","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","19284","","","","0"
"1982-01","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","18765","","","","0"
"1982-04","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","17813","","","","0"
"1982-07","Ontario","2016A000235","In-migrants","Persons","249","units","0","v509048","7.1","31435","","","","0"
