"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1959-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9318","","","","0"
"1959-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","21693","","","","0"
"1959-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13993","","","","0"
"1959-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10972","","","","0"
"1960-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","8809","","","","0"
"1960-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22068","","","","0"
"1960-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12907","","","","0"
"1960-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10707","","","","0"
"1961-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","6504","","","","0"
"1961-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","13083","","","","0"
"1961-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9217","","","","0"
"1961-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","7714","","","","0"
"1962-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","5829","","","","0"
"1962-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","11404","","","","0"
"1962-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","10746","","","","0"
"1962-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9231","","","","0"
"1963-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","6721","","","","0"
"1963-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15271","","","","0"
"1963-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","14382","","","","0"
"1963-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12842","","","","0"
"1964-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","9646","","","","0"
"1964-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","19003","","","","0"
"1964-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","17186","","","","0"
"1964-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","15633","","","","0"
"1965-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","12237","","","","0"
