Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate
2001-12-01,1.577343611,4,1.429540238,33490.71278,232.21,1976.327008,275.17125,11973290.99,32645.25685,3346.914088,12487.42238,10076.36192,78.63814804,37.06918814,8549,36712,45261,25846,39000,7.2,70.2,65.2,4994232.93,655,193162.7985,1230,80,4,2.25
2002-01-01,1.600234591,3.85,1.6,33779.44154,237.26,1981.788115,280.9384,11980361,36136,2715,14788,11658,78.54,37.1,9107,38339,47446,25846,39000,7.5,70.5,65.2,5002533,732,196438.8825,2152,1474,3.75,2
2002-02-01,1.5953253,3.75,1.545042996,34048.03665,240.045,1811.828421,294.7458333,11993559.62,40114.13045,2318.475815,17255.752,14560.88781,78.44728146,37.13180171,9107,38339,47446,25846,39000,7,69.7,64.9,5010483.254,957,208220.7482,787,1246,3.75,2
2002-03-01,1.5874214,3.75,1.34833791,33994.58813,245.235,1855.941498,293.5624,12010244.98,43687.16623,2251.488958,19545.49768,18039.44569,78.36820244,37.16137662,9107,38339,47446,25846,39000,7.2,69.9,64.9,5017363.454,1099,206571.384,1293,1589,3.75,2
2002-04-01,1.581398619,3.875,1.3,34281.84119,245.335,1766.058638,302.2626923,12030408,44496,3132,21558,20853,78.28581746,37.19506223,9107,38339,47446,25846,39000,7.4,69.6,64.4,5024647.929,1183,219488.6002,1020,904,4,2.25
2002-05-01,1.549755091,4,1.474470876,34316.0925,244.934,1666.42091,313.2725926,12051053.57,41643.65526,5037.71836,22890.91203,22228.40643,78.21125965,37.22860367,9107,38339,47446,25846,39000,7,69.1,64.3,5031364.35,1115,218748.3372,1243,916,4,2.25
2002-06-01,1.5311164,4.25,1.860131346,34353.92496,249.185,1506.029004,321.3192,12073291.66,35590.84033,7734.822899,23448.03564,22253.5304,78.13955852,37.26423705,9107,38339,47446,25846,39000,7.7,68.8,63.5,5037960.478,940,214305.2351,294,863,4.25,2.5
2002-07-01,1.544199783,4.4,2.3,34385.70332,246.408,1350.831826,313.0222222,12094174,30426,8999,22142,20905,78.07533992,37.29966343,9107,38339,47446,25846,39000,7.3,69,64,5044010.756,617,215936.6904,1444,1490,4.5,1.5
2002-08-01,1.568205364,4.5,2.80015083,34578.96335,238.555,1326.922724,309.2012,12114826.34,26455.67621,8553.659107,18700.67715,18089.08488,77.99413296,37.33627194,9107,38339,47446,25846,39000,8,69.9,64.3,5050114.804,765,208338.9516,1101,1272,4.5,1.5
2002-09-01,1.573707333,4.5,3.332186948,34555.8726,240.3975,1256.135492,318.1468,12133731.26,23854.22454,6671.18896,13725.61186,14229.60429,77.87381759,37.37172473,9107,38339,47446,25846,39000,7.7,70.2,64.8,5056301.996,780,215612.8782,691,1024,4.5,1.5
2002-10-01,1.577897696,4.5,3.8,34709.6719,240.22,1236.335651,315.865,12146053,22532,5316,10617,11651,77.72009725,37.40493108,9107,38339,47446,25846,39000,7.9,70.3,64.8,5062369.25,950,218940.0189,1000,1033,4.5,1.5
2002-11-01,1.571387143,4.5,4.222048792,34681.41536,248.375,1402.871991,318.5764,12151904.48,22383.09131,4699.425302,9688.178067,10534.84958,77.5227239,37.43810473,9107,38339,47446,25846,39000,7,70,65.1,5068721.047,845,218089.4225,2214,1704,4.5,1.5
2002-12-01,1.55865715,4.5,4.53171479,34507.08551,250.6825,1392.419521,333.5207692,12152370.5,23341.29274,4748.505307,10780.76171,10864.39332,77.29443132,37.46910547,9107,38339,47446,25846,39000,7.3,70.2,65,5074947.597,623,214842.7287,551,2448,4.5,1.5
2003-01-01,1.540829955,4.5,4.5,34650.70332,256.674,1389.808106,354.992,12156750,24990,4752,12584,12099,77.02,37.5,9824,41184,51008,25846,42000,7.4,70.6,65.3,5081464,638,223692.1834,665,870,4.5,1.5
2003-02-01,1.5129913,4.5,4.069446779,34819.83421,263.8,1313.224211,357.8586957,12166627.18,27228.44511,4589.092956,14843.2431,14149.1097,76.70640807,37.52973628,9824,41184,51008,25846,42000,7.3,70.8,65.6,5088064.056,851,221466.6122,3621,1077,4.5,1.5
2003-03-01,1.47537919,4.75,3.400845692,34741.08901,259.435,1344.264288,340.4466667,12179778.96,29635.97674,4397.03966,17129.65041,16570.13323,76.38950437,37.55559933,9824,41184,51008,25846,42000,7.3,70.5,65.3,5094097.297,999,219933.4695,1552,859,4.75,3
2003-04-01,1.46134695,4.9,2.8,34646.69459,249.678,1409.119042,327.6595652,12195501,31866,4833,18893,18944,76.00138095,37.58313121,9824,41184,51008,25846,42000,7.9,70.6,65,5100856.561,1047,220042.4852,1207,1805,5,2.5
2003-05-01,1.383058333,5,2.427898159,34754.58988,260.345,1517.408104,354.5018519,12211329.41,33454.1516,6012.528534,19669.12539,20788.757,75.58849153,37.60867216,9824,41184,51008,25846,42000,7.9,69.9,64.4,5107477.432,1039,228105.3301,948,1430,5,2.5
2003-06-01,1.354565143,5,2.235786131,34851.94939,264.14,1633.777152,356.25,12228280.43,34423.26507,7759.295291,19460.30714,22013.385,75.12331014,37.63392491,9824,41184,51008,25846,42000,8,70,64.5,5114401.302,1045,216460.5493,1207,1066,5,2.5
2003-07-01,1.380153435,4.85,2.1,34943.35079,265.24,1715.868175,350.1159259,12245039,34239,8512,17999,21323,74.63584848,37.65726026,9824,41184,51008,25846,42000,8,69.9,64.3,5121181.469,1152,220006.5382,1112,677,4.75,3
2003-08-01,1.397856429,4.75,1.987540109,34711.56719,271.62,1722.652379,359.6603704,12262683.39,32806.02881,8065.857769,15138.32237,18457.57329,74.13218033,37.68084386,9824,41184,51008,25846,42000,8,69.7,64.1,5128206.732,1005,223219.6517,1712,832,4.75,3
2003-09-01,1.366352182,4.5625,1.885374055,35246.70332,273.32,1856.325248,378.0776,12279849.14,30393.13901,6624.136064,11357.5807,13988.28061,73.67443873,37.70461483,9824,41184,51008,25846,42000,8.1,69.6,64,5135176.202,953,221429.2214,1534,1389,4.5,1.5
2003-10-01,1.324753565,4.5,1.7,35353.76963,281.232,1904.389999,377.6759259,12291669,28638,5609,9243,11255,73.27528611,37.72779888,9824,41184,51008,25846,42000,7.4,69.4,64.2,5141867.572,957,217635.2414,3287,1472,4.5,1.5
2003-11-01,1.3128104,4.5,1.403225996,35370.29319,291.595,1939.95053,389.6172,12298218,27672.34636,5171.113633,9051.522632,10588.30364,72.90811232,37.75194163,9824,41184,51008,25846,42000,7.5,69.1,63.9,5148726.933,844,224552.1078,768,391,4.5,1.5
2003-12-01,1.312954143,4.5,1.06662257,35443.19197,306.174,1957.310913,407.1484615,12300246.16,27604.22216,5261.528404,10566.65238,11782.82215,72.59660598,37.77548547,9824,41184,51008,25846,42000,7.4,69.9,64.8,5155311.747,728,217241.456,1247,1260,4.5,1.5
2004-01-01,1.296086143,4.375,1,35427.95113,317.2175,2097.614545,412.8623077,12305320,28719,5397,12439,13344,72.32,37.8,10230,45533,55763,25846,47000,7.2,69.6,64.6,5162061,625,221502.3744,517,1489,4.25,2.5
2004-02-01,1.3298939,4.25,1.274247584,35465.5829,324.15,2052.735769,402.922,12314652.23,31086.42326,5494.123476,14382.73465,14976.50896,72.08942029,37.82470346,10230,45533,55763,25846,47000,7.2,70.2,65.2,5168754.297,887,221989.0113,412,586,4.25,2.5
2004-03-01,1.330481565,4,1.771005889,35774.74346,324.09,1982.935653,405.2640741,12326917.03,34142.54649,5610.572624,16180.12193,16554.06942,71.91538458,37.8479842,10230,45533,55763,25846,47000,7.8,70.2,64.8,5174965.11,1313,225317.904,1702,829,4,2.25
2004-04-01,1.3408617,3.8125,2.1,35861.31588,324.33,2027.794282,404.64375,12341656,36346,6167,17505,18199,71.77388796,37.87305335,10230,45533,55763,25846,47000,7.3,70.4,65.3,5181550.103,1244,228128.8199,2041,1273,3.75,2
2004-05-01,1.377712524,3.75,2.147691128,35909.19197,302.1775,1928.124499,383.6748148,12357184.49,37124.364,7193.886397,18110.29509,19735.17285,71.68077889,37.89749371,10230,45533,55763,25846,47000,7.7,70.4,65,5187869.4,1193,241201.0243,978,1641,3.75,2
2004-06-01,1.358688636,3.75,1.972547889,36140.71728,314.38,1999.193336,391.3624,12374401.37,36544.97868,8561.549921,18001.89773,21068.09007,71.62985008,37.92293464,10230,45533,55763,25846,47000,7.2,70.1,65.1,5194344.285,1258,231930.4555,1869,2050,3.75,2
2004-07-01,1.322388364,3.75,1.9,36026.9459,325.395,1919.722389,397.5403704,12391421,34733,9056,16991,20993,71.62438728,37.94773479,10230,45533,55763,25846,47000,7.4,70.1,64.9,5200557.025,1091,228362.8973,762,893,3.75,2
2004-08-01,1.314659136,3.75,1.980500144,36309.31763,324.82,1821.296381,399.7492308,12409241.65,31583.07865,8512.058985,14975.74626,19307.98722,71.64887386,37.97344771,10230,45533,55763,25846,47000,7.6,70.1,64.7,5207026.386,1033,225848.5992,3438,760,3.75,2
2004-09-01,1.2905655,3.9,2.182685533,36463.85864,327.93,1881.201428,404.5436,12426412.09,27582.86086,7115.520204,12270.86367,16350.9536,71.68704469,37.99913657,10230,45533,55763,25846,47000,7.3,69,64,5213663.017,932,224065.0075,1601,1380,4,2.25
2004-10-01,1.249289714,4.125,2.3,36412.59337,348.055,1935.561907,419.8024,12437664,25298,6126,10584,14212,71.7369974,38.02397376,10230,45533,55763,25846,47000,7.6,69.4,64.1,5220244.939,900,238120.0933,2174,2070,4.25,2.5
2004-11-01,1.196279273,4.25,2.308334127,36495.37347,350.17,2059.205235,438.4124,12442967.26,24970.08925,5670.51004,10063.68276,13066.47388,71.80206218,38.04961507,10230,45533,55763,25846,47000,7.4,69.6,64.4,5227210.946,1000,235626.733,1703,1210,4.25,2.5
2004-12-01,1.218187565,4.25,2.218878437,36450.92147,354.768,2146.2768,442.5352174,12443237.69,26504.42428,5696.137887,10702.67947,12994.74454,71.87804128,38.07440624,10230,45533,55763,25846,47000,8.3,69.5,63.7,5234111.618,703,239119.6999,1018,395,4.25,2.5
2005-01-01,1.22419419,4.25,2.1,36595.90576,357.8275,2081.331494,424.1043478,12446466,29269,5683,12285,14033,71.97,38.1,10485,47402,57887,25846,49500,7,68.8,64,5241407,601,230779.2962,491,965,4.25,2.5
2005-02-01,1.2392857,4.25,1.966565037,36668.4712,363.33,2065.447895,422.5127273,12454012.71,33110.31685,5543.156292,14761.60706,16208.6563,72.07562613,38.1255696,10485,47402,57887,25846,49500,7.8,69,63.6,5248869.769,874,234769.4691,914,1297,4.25,2.5
2005-03-01,1.216971619,4.25,1.855561681,36507.68237,377.754,2034.583646,434.3669565,12464314.42,37223.62182,5404.638051,17543.24424,18951.43912,72.18277781,38.14864395,10485,47402,57887,25846,49500,7.4,69.3,64.2,5255754.208,1129,242998.5226,1888,3826,4.25,2.5
2005-04-01,1.235972667,4.25,1.9,36806.66318,372.1525,1962.563337,427.68,12477967,40485,5926,19632,21426,72.31441611,38.17416755,10485,47402,57887,25846,49500,7.4,69.1,64,5263535.553,1249,233664.3395,2060,146,4.25,2.5
2005-05-01,1.255950136,4.25,2.134835108,36978.81501,362.6425,1998.470482,421.8465385,12493176.69,42035.71571,7212.75181,20413.83329,23036.84725,72.45482122,38.1988448,10485,47402,57887,25846,49500,7.6,69.9,64.6,5271225.262,1283,244013.9564,803,1193,4.25,2.5
2005-06-01,1.242152364,4.25,2.518369239,37088.24084,363.506,2075.519098,429.5841667,12510783.5,42004.91838,9072.409964,19939.98285,23778.17208,72.61335347,38.22432086,10485,47402,57887,25846,49500,7.5,69.9,64.7,5279335.982,1308,241869.6636,2909,1417,4.25,2.5
2005-07-01,1.22377181,4.25,2.7,37097.04538,360.2625,2138.327503,424.1736,12528663,40541,9804,18236,22959,72.77978497,38.24895209,10485,47402,57887,25846,49500,7.3,69.6,64.6,5287344.441,1110,245632.809,3500,1720,4.25,2.5
2005-08-01,1.205562652,4.25,2.634482669,37388.18499,371.34,2157.993472,436.8911538,12547833.19,37572.13439,9178.027617,15187.4024,20411.52094,72.9424643,38.27439291,10485,47402,57887,25846,49500,6.4,69.2,64.8,5295640.561,1124,237292.9742,982,2480,4.25,2.5
2005-09-01,1.179030773,4.4375,2.365555687,37483.24258,371.125,2145.583787,455.0608333,12566658.63,33465.54519,7446.883478,11282.51799,16619.73979,73.06863202,38.29983673,10485,47402,57887,25846,49500,6.7,69.7,65.1,5303786.46,1150,241379.0557,922,357,4.5,1.5
2005-10-01,1.177634286,4.625,2.2,37504.90576,374.815,2089.836676,469.2316667,12578931,30238,6320,9108,14356,73.15590991,38.32446268,10485,47402,57887,25846,49500,6.7,70.1,65.4,5311526.205,1040,246403.4827,982,841,4.75,3
