Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Total_Enrolment,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Exchange Rate_Change_Rate,Prime_Rate_Change_Rate,GDP_Change_Rate,W.MTLS_Change_Rate,Gold_Price_in_USD_Change_Rate,Ontario_population_Change_Rate,Ontario_Immigrants_International_Change_Rate,Ontario_Emigrants_International_Change_Rate,Ontario_In_migrant_Interprovincial_Change_Rate,Ontario_Out_migrant_Interprovincial_Change_Rate,UT_Graduate_Enrolment_Change_Rate,UT_Undergraduate_Enrolment_Change_Rate,Ryerson_Total_Enrolment_Change_Rate,York_Total_Enrolment_Change_Rate,Toronto_population_Change_Rate,Sales_Total_Change_Rate,Avg_Price_Month_Change_Rate
2001-11-01,1.5932341819999998,4.375,1.120564686,33662.03678,227.81,1861.602859,275.1064,30033.109230000002,4207.377314,10710.34655,9854.790858,78.73829962,37.04031268,45261,70.0,65.0,4985867.533,839,196114.1061,1467,1273,0.014619942,-0.116161616,0.005171231,0.007928572,-0.025972824,0.0007397510000000001,-0.000196104,-0.236549208,-0.041751225,-0.128048942,0.0,0.0,0.0,0.0,0.001806035,0.054020100999999994,0.019873202
2001-12-01,1.5773436109999999,4.0,1.4295402380000002,33490.71278,232.21,1976.3270079999998,275.17125,32645.25685,3346.914088,12487.42238,10076.361920000001,78.63814804,37.06918814,45261,70.2,65.2,4994232.93,655,193162.7985,1230,80,-0.009973781999999999,-0.085714286,-0.005089531,0.019314341000000002,0.000235727,0.00022164599999999998,0.086975598,-0.204512969,0.165921412,0.022483589,0.0,0.0,0.0,0.0,0.001677822,-0.21930870100000002,-0.015048931000000002
2002-01-01,1.600234591,3.85,1.6,33779.44154,237.26,1981.7881149999998,280.9384,36136.0,2715.0,14788.0,11658.0,78.54,37.1,47446,70.5,65.2,5002533.0,732,196438.8825,2152,1474,0.014512361000000001,-0.0375,0.008621159,0.021747556,0.020958403,0.0005904819999999999,0.10692956599999999,-0.188804992,0.184231585,0.156965191,0.06527079200000001,0.044317934,0.0,0.0,0.001661931,0.11755725199999999,0.016960222
2002-02-01,1.5953253,3.75,1.5450429959999998,34048.03665,240.045,1811.8284210000002,294.7458333,40114.13045,2318.475815,17255.752,14560.88781,78.44728146,37.13180171,47446,69.7,64.9,5010483.254,957,208220.7482,787,1246,-0.0030678570000000002,-0.025974026,0.007951436999999999,0.011738178,0.049147547,0.001101688,0.11008773599999999,-0.146049423,0.166875304,0.24900393,0.0,0.0,0.0,0.0,0.001589246,0.30737704899999996,0.059977259000000005
2002-03-01,1.5874214,3.75,1.34833791,33994.588130000004,245.235,1855.9414980000001,293.5624,43687.16623,2251.488958,19545.49768,18039.44569,78.36820244,37.16137662,47446,69.9,64.9,5017363.454,1099,206571.384,1293,1589,-0.0049544129999999995,0.0,-0.0015697970000000002,0.021620946000000002,-0.004015098,0.001391194,0.08907175,-0.028892627,0.132694633,0.238897375,0.0,0.0,0.0,0.0,0.0013731610000000001,0.148380355,-0.007921229
2002-04-01,1.581398619,3.875,1.3,34281.84119,245.335,1766.058638,302.26269229999997,44496.0,3132.0,21558.0,20853.0,78.28581746,37.19506223,47446,69.6,64.4,5024647.929,1183,219488.6002,1020,904,-0.0037940659999999996,0.033333333,0.008449964,0.000407772,0.029636944,0.001678819,0.018514219,0.39107944,0.10296500800000001,0.155966783,0.0,0.0,0.0,0.0,0.001451853,0.07643312099999999,0.06253148900000001
2002-05-01,1.549755091,4.0,1.474470876,34316.0925,244.93400000000003,1666.42091,313.27259260000005,41643.65526,5037.71836,22890.91203,22228.406430000003,78.21125965,37.22860367,47446,69.1,64.3,5031364.35,1115,218748.3372,1243,916,-0.020009837,0.032258065,0.000999109,-0.0016344999999999999,0.03642494,0.001716116,-0.064103397,0.608466909,0.061829113,0.065957245,0.0,0.0,0.0,0.0,0.001336695,-0.057480980999999993,-0.003372672
2002-06-01,1.5311164,4.25,1.860131346,34353.924960000004,249.185,1506.029004,321.3192,35590.84033,7734.822899,23448.035640000002,22253.5304,78.13955852,37.26423705,47446,68.8,63.5,5037960.478,940,214305.2351,294,863,-0.012026862,0.0625,0.00110247,0.017355696,0.025685641000000002,0.001845324,-0.14534783,0.53538216,0.024338201,0.001130264,0.0,0.0,0.0,0.0,0.0013110020000000001,-0.156950673,-0.020311478
2002-07-01,1.544199783,4.4,2.3,34385.70332,246.408,1350.8318259999999,313.0222222,30426.0,8999.0,22142.0,20905.0,78.07533992,37.29966343,47446,69.0,64.0,5044010.756,617,215936.6904,1444,1490,0.008544995,0.035294118,0.000925028,-0.011144331,-0.025821606,0.0017296310000000001,-0.145117122,0.163439696,-0.055699149,-0.060598492999999996,0.0,0.0,0.0,0.0,0.0012009380000000001,-0.343617021,0.007612765
2002-08-01,1.568205364,4.5,2.80015083,34578.96335,238.555,1326.922724,309.2012,26455.676209999998,8553.659107,18700.67715,18089.084880000002,77.99413296,37.33627194,47446,69.9,64.3,5050114.804,765,208338.9516,1101,1272,0.015545645,0.022727273,0.00562036,-0.031869907,-0.012206871999999999,0.0017076270000000002,-0.130491152,-0.04948782,-0.155420597,-0.134700556,0.0,0.0,0.0,0.0,0.001210158,0.23987034,-0.035185029
2002-09-01,1.5737073330000002,4.5,3.332186948,34555.8726,240.3975,1256.1354919999999,318.1468,23854.22454,6671.18896,13725.611859999999,14229.604290000001,77.87381759,37.37172473,47446,70.2,64.8,5056301.996,780,215612.8782,691,1024,0.00350845,0.0,-0.0006677689999999999,0.007723586,0.028931323999999998,0.001560478,-0.09833245800000001,-0.220077761,-0.266036638,-0.213359637,0.0,0.0,0.0,0.0,0.001225159,0.019607843,0.034913906
2002-10-01,1.577897696,4.5,3.8,34709.6719,240.22,1236.3356509999999,315.865,22532.0,5316.0,10617.0,11651.0,77.72009725,37.40493108,47446,70.3,64.8,5062369.25,950,218940.0189,1000,1033,0.002662733,0.0,0.004450743,-0.00073836,-0.007172161,0.001015495,-0.055429365999999994,-0.203140545,-0.22648257100000002,-0.181214055,0.0,0.0,0.0,0.0,0.001199939,0.217948718,0.015431085
2002-11-01,1.5713871430000002,4.5,4.222048792,34681.41536,248.375,1402.871991,318.5764,22383.09131,4699.425302000001,9688.178067,10534.84958,77.5227239,37.43810473,47446,70.0,65.1,5068721.047,845,218089.4225,2214,1704,-0.004126093,0.0,-0.0008140830000000001,0.033948048,0.008584047,0.00048176,-0.006608765,-0.11598470599999999,-0.087484405,-0.09579868,0.0,0.0,0.0,0.0,0.001254709,-0.110526316,-0.003885066
2002-12-01,1.55865715,4.5,4.53171479,34507.085510000004,250.6825,1392.419521,333.52076919999996,23341.29274,4748.505307,10780.761709999999,10864.393320000001,77.29443132,37.46910547,47446,70.2,65.0,5074947.597,623,214842.7287,551,2448,-0.008101118000000001,0.0,-0.005026607,0.009290388,0.046909844000000006,3.8299999999999996e-05,0.042809164000000004,0.010443830999999999,0.11277493400000001,0.031281296,0.0,0.0,0.0,0.0,0.0012284260000000001,-0.262721893,-0.014886983999999999
2003-01-01,1.540829955,4.5,4.5,34650.70332,256.67400000000004,1389.808106,354.99199999999996,24990.0,4752.0,12584.0,12099.0,77.02,37.5,51008,70.6,65.3,5081464.0,638,223692.1834,665,870,-0.011437535,0.0,0.00416198,0.023900751,0.06437749200000001,0.00036038199999999997,0.070634788,0.0007359560000000001,0.167264461,0.113637885,0.078730647,0.07420642200000001,0.0,0.076923077,0.0012840339999999999,0.024077047,0.041190385
2003-02-01,1.5129913000000001,4.5,4.069446779,34819.83421,263.8,1313.224211,357.8586957,27228.44511,4589.092956,14843.2431,14149.1097,76.70640807,37.52973628,51008,70.8,65.6,5088064.056,851,221466.6122,3621,1077,-0.018067311000000003,0.0,0.004881023,0.027762843,0.008075381,0.000812485,0.089573634,-0.034281785,0.179532987,0.169444557,0.0,0.0,0.0,0.0,0.001298849,0.333855799,-0.009949258
2003-03-01,1.47537919,4.75,3.400845692,34741.08901,259.435,1344.264288,340.4466667,29635.97674,4397.03966,17129.65041,16570.13323,76.38950437,37.55559933,51008,70.5,65.3,5094097.297,999,219933.4695,1552,859,-0.024859435,0.055555556,-0.002261504,-0.016546626000000002,-0.048656157,0.001080971,0.088419725,-0.041849947,0.15403691,0.171107835,0.0,0.0,0.0,0.0,0.001185764,0.17391304300000002,-0.006922681
2003-04-01,1.46134695,4.9,2.8,34646.69459,249.678,1409.119042,327.6595652,31866.0,4833.0,18893.0,18944.0,76.00138095,37.58313121,51008,70.6,65.0,5100856.561000001,1047,220042.4852,1207,1805,-0.009510938,0.031578947,-0.002717083,-0.03760865,-0.037559779,0.001290831,0.07524716599999999,0.099148603,0.102941365,0.143261779,0.0,0.0,0.0,0.0,0.0013268820000000001,0.048048047999999996,0.000495676
2003-05-01,1.3830583330000001,5.0,2.427898159,34754.58988,260.345,1517.4081039999999,354.50185189999996,33454.1516,6012.528534,19669.12539,20788.756999999998,75.58849153,37.60867216,51008,69.9,64.4,5107477.432,1039,228105.3301,948,1430,-0.053572915,0.020408163,0.0031141579999999997,0.042723027000000004,0.081921267,0.001297889,0.04983843599999999,0.24405721800000002,0.04108005,0.09737948699999999,0.0,0.0,0.0,0.0,0.001297992,-0.007640879000000001,0.036642219
2003-06-01,1.354565143,5.0,2.235786131,34851.949389999994,264.14,1633.777152,356.25,34423.26507,7759.295290999999,19460.30714,22013.385,75.12331014,37.63392491,51008,70.0,64.5,5114401.302,1045,216460.5493,1207,1066,-0.020601583,0.0,0.002801343,0.014576812,0.004931281,0.001388139,0.028968407,0.290521159,-0.01061655,0.058908188,0.0,0.0,0.0,0.0,0.0013556339999999999,0.005774783,-0.051050016
2003-07-01,1.380153435,4.85,2.1,34943.35079,265.24,1715.868175,350.1159259,34239.0,8512.0,17999.0,21323.0,74.63584848,37.65726026,51008,69.9,64.3,5121181.469,1152,220006.5382,1112,677,0.018890411,-0.03,0.002622562,0.004164458,-0.017218453999999998,0.0013704770000000002,-0.0053529219999999995,0.097006839,-0.07509167900000001,-0.031362056,0.0,0.0,0.0,0.0,0.001325701,0.10239234400000001,0.016381687
2003-08-01,1.397856429,4.75,1.987540109,34711.567189999994,271.62,1722.6523789999999,359.6603704,32806.02881,8065.857769,15138.322369999998,18457.57329,74.13218033,37.68084386,51008,69.7,64.1,5128206.732,1005,223219.6517,1712,832,0.01282683,-0.020618557,-0.006633124000000001,0.024053687,0.027260812000000002,0.0014409420000000002,-0.041852016,-0.052413325999999996,-0.158935365,-0.13438196800000002,0.0,0.0,0.0,0.0,0.001371805,-0.127604167,0.014604627
2003-09-01,1.366352182,4.5625,1.885374055,35246.70332,273.32,1856.325248,378.0776,30393.139010000003,6624.136064,11357.5807,13988.28061,73.67443873,37.70461483,51008,69.6,64.0,5135176.202,953,221429.2214,1534,1389,-0.022537541,-0.039473684,0.015416651000000002,0.006258744,0.05120728099999999,0.0013998370000000001,-0.073550194,-0.178743755,-0.24974641,-0.24213869300000002,0.0,0.0,0.0,0.0,0.001359046,-0.05174129400000001,-0.008020935
2003-10-01,1.324753565,4.5,1.7,35353.76963,281.232,1904.3899989999998,377.6759259,28638.0,5609.0,9243.0,11255.0,73.27528611,37.72779888,51008,69.4,64.2,5141867.572,957,217635.2414,3287,1472,-0.030445017999999997,-0.01369863,0.003037626,0.028947754,-0.001062412,0.000962541,-0.057747869,-0.15324807,-0.186182318,-0.195397897,0.0,0.0,0.0,0.0,0.001303046,0.004197272,-0.017134053
2003-11-01,1.3128104,4.5,1.403225996,35370.29319,291.595,1939.95053,389.6172,27672.346360000003,5171.113633,9051.522632,10588.30364,72.90811232,37.75194163,51008,69.1,63.9,5148726.933,844,224552.1078,768,391,-0.009015386,0.0,0.000467378,0.036848581,0.031617779,0.0005327999999999999,-0.033719311,-0.078068527,-0.020715933,-0.059235572,0.0,0.0,0.0,0.0,0.0013340210000000001,-0.118077325,0.031781923
2003-12-01,1.312954143,4.5,1.06662257,35443.19197,306.17400000000004,1957.3109129999998,407.1484615,27604.22216,5261.528404,10566.65238,11782.82215,72.59660598,37.77548547,51008,69.9,64.8,5155311.7469999995,728,217241.456,1247,1260,0.000109492,0.0,0.002061017,0.049997428,0.044996117999999995,0.000164915,-0.002461815,0.017484583999999997,0.167389489,0.11281491,0.0,0.0,0.0,0.0,0.0012789210000000001,-0.137440758,-0.032556594
2004-01-01,1.296086143,4.375,1.0,35427.95113,317.2175,2097.614545,412.86230770000003,28719.0,5397.0,12439.0,13344.0,72.32,37.8,55763,69.6,64.6,5162061.0,625,221502.3744,517,1489,-0.012847363999999998,-0.027777778,-0.000430007,0.036069359,0.014033815,0.00041249900000000004,0.040384323,0.025747575,0.177194021,0.132496088,0.041327362,0.105599262,0.0,0.11904761900000001,0.001309184,-0.141483516,0.019613744
2004-02-01,1.3298938999999999,4.25,1.274247584,35465.5829,324.15,2052.7357690000003,402.92199999999997,31086.423260000003,5494.123476,14382.73465,14976.50896,72.08942029,37.82470346,55763,70.2,65.2,5168754.297,887,221989.0113,412,586,0.026084499,-0.028571429,0.001062205,0.021854091000000003,-0.024076569,0.00075839,0.082434042,0.017995826,0.156261327,0.1223403,0.0,0.0,0.0,0.0,0.001296633,0.4192,0.002196983
2004-03-01,1.330481565,4.0,1.771005889,35774.743460000005,324.09,1982.9356530000002,405.2640741,34142.54649,5610.572624,16180.121930000001,16554.06942,71.91538458,37.8479842,55763,70.2,64.8,5174965.11,1313,225317.90399999998,1702,829,0.000441889,-0.058823529000000006,0.008717199,-0.000185099,0.0058127230000000005,0.000995952,0.098310546,0.021195218999999998,0.124968396,0.105335661,0.0,0.0,0.0,0.0,0.001201607,0.480270575,0.014995753999999998
2004-04-01,1.3408617,3.8125,2.1,35861.31588,324.33,2027.794282,404.64375,36346.0,6167.0,17505.0,18199.0,71.77388796,37.87305335,55763,70.4,65.3,5181550.103,1244,228128.8199,2041,1273,0.0078017880000000005,-0.046875,0.002419931,0.000740535,-0.001530666,0.001195673,0.064536882,0.09917479300000001,0.081883071,0.099367143,0.0,0.0,0.0,0.0,0.001272471,-0.052551409,0.012475333
2004-05-01,1.377712524,3.75,2.147691128,35909.19197,302.1775,1928.1244989999998,383.6748148,37124.364,7193.886397,18110.29509,19735.17285,71.68077889,37.89749371,55763,70.4,65.0,5187869.4,1193,241201.0243,978,1641,0.027482942000000003,-0.016393443,0.001335034,-0.068302346,-0.051820732,0.001258218,0.021415396,0.16651311800000002,0.034578411,0.08440974,0.0,0.0,0.0,0.0,0.001219576,-0.040996785,0.057301854000000006
2004-06-01,1.358688636,3.75,1.972547889,36140.717280000004,314.38,1999.193336,391.3624,36544.97868,8561.549921,18001.89773,21068.09007,71.62985008,37.92293464,55763,70.1,65.1,5194344.285,1258,231930.4555,1869,2050,-0.013808313999999999,0.0,0.006447522,0.040381895,0.020036721,0.0013932679999999998,-0.015606606,0.19011469600000003,-0.0059854,0.067540185,0.0,0.0,0.0,0.0,0.001248082,0.054484492999999995,-0.038435031
2004-07-01,1.322388364,3.75,1.9,36026.9459,325.395,1919.722389,397.5403704,34733.0,9056.0,16991.0,20993.0,71.62438728,37.94773479,55763,70.1,64.9,5200557.025,1091,228362.8973,762,893,-0.026717138999999997,0.0,-0.0031480109999999996,0.035037216,0.015785805,0.00137539,-0.049582152000000004,0.057752403,-0.056155065,-0.0035641609999999997,0.0,0.0,0.0,0.0,0.001196059,-0.132750397,-0.015382017
2004-08-01,1.314659136,3.75,1.980500144,36309.31763,324.82,1821.2963809999999,399.7492308,31583.07865,8512.058985,14975.74626,19307.98722,71.64887386,37.97344771,55763,70.1,64.7,5207026.386,1033,225848.5992,3438,760,-0.0058449,0.0,0.007837793000000001,-0.0017670829999999998,0.005556317,0.001438144,-0.090689585,-0.060064158,-0.11860713,-0.080265459,0.0,0.0,0.0,0.0,0.001243975,-0.053162235999999995,-0.011010098999999999
2004-09-01,1.2905655,3.9,2.182685533,36463.85864,327.93,1881.201428,404.5436,27582.86086,7115.520204,12270.86367,16350.9536,71.68704469,37.99913657,55763,69.0,64.0,5213663.017,932,224065.0075,1601,1380,-0.018326907,0.04,0.004256236,0.009574534,0.011993442,0.001383682,-0.126656994,-0.164065919,-0.180617549,-0.153150797,0.0,0.0,0.0,0.0,0.001274553,-0.097773475,-0.007897289
2004-10-01,1.249289714,4.125,2.3,36412.59337,348.055,1935.561907,419.8024,25298.0,6126.0,10584.0,14212.0,71.7369974,38.02397376,55763,69.4,64.1,5220244.938999999,900,238120.0933,2174,2070,-0.031982712999999996,0.057692308,-0.00140592,0.061369805,0.037718555,0.000905483,-0.082836254,-0.139065054,-0.137469025,-0.13081522,0.0,0.0,0.0,0.0,0.001262437,-0.034334764,0.062727714
