Date,Exchange Rate,Prime_Rate,INDINF_CPI_Q,GDP,W.MTLS,Open,Gold_Price_in_USD,Ontario_population,Ontario_Immigrants_International,Ontario_Emigrants_International,Ontario_In_migrant_Interprovincial,Ontario_Out_migrant_Interprovincial,Crime_severity_index_toronto,Toronto_median_age,UT_Graduate_Enrolment,UT_Undergraduate_Enrolment,UT_Total_Enrolment,Ryerson_Total_Enrolment,York_Total_Enrolment,Unemployment_rate_toronto,Participation_rate_toronto,Employment_rate_toronto,Toronto_population,Sales_Total,Avg_Price_Month,New Units Number (Plan for construction),New Units Number (construction complete),Prime_Rate_2,Bank_of_Canada_Overnight_Rate,Exchange Rate_Change_Rate,Prime_Rate_Change_Rate,INDINF_CPI_Q_Change_Rate,GDP_Change_Rate,W.MTLS_Change_Rate,Open_Change_Rate,Gold_Price_in_USD_Change_Rate,Ontario_population_Change_Rate,Ontario_Immigrants_International_Change_Rate,Ontario_Emigrants_International_Change_Rate,Ontario_In_migrant_Interprovincial_Change_Rate,Ontario_Out_migrant_Interprovincial_Change_Rate,Crime_severity_index_toronto_Change_Rate,Toronto_median_age_Change_Rate,UT_Graduate_Enrolment_Change_Rate,UT_Undergraduate_Enrolment_Change_Rate,UT_Total_Enrolment_Change_Rate,Ryerson_Total_Enrolment_Change_Rate,York_Total_Enrolment_Change_Rate,Unemployment_rate_toronto_Change_Rate,Participation_rate_toronto_Change_Rate,Employment_rate_toronto_Change_Rate,Toronto_population_Change_Rate,Sales_Total_Change_Rate,Avg_Price_Month_Change_Rate,New Units Number (Plan for construction)_Change_Rate,New Units Number (construction complete)_Change_Rate,Prime_Rate_2_Change_Rate,Bank_of_Canada_Overnight_Rate_Change_Rate
2001-01-01,1.502559090909091,7.4,2.8,33393.91068301226,262.182,2641.6871628571434,265.2966666666667,11771945.0,34801.0,3144.0,15176.0,11129.0,80.04,36.8,8549.0,36712.0,45261.0,25846.0,39000.0,5.3,68.6,65.0,4882618.0,528.0,185757.6686,1457.0,511.0,7.25,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,1.5219806999999999,7.25,3.2743019526019905,33414.60595446585,258.25,2474.819965578947,261.3108,11789226.50086427,37662.09142179419,2596.9312248288147,17272.331955028545,11735.038333474462,79.88335351885404,36.8201470463883,8549.0,36712.0,45261.0,25846.0,39000.0,6.4,68.6,64.2,4894687.053579913,732.0,189990.7036,946.0,227.0,7.25,7.11,0.012925687387880691,-0.020270270270270285,0.16939355450071103,0.000619731892141484,-0.014997215674607767,-0.06316690319141327,-0.01502418675947692,0.0014680242614342198,0.08221290830131855,-0.1740040633496136,0.13813468338353618,0.054455776212998686,-0.0019571024630931078,0.0005474740866386885,0.0,0.0,0.0,0.0,0.0,0.20754716981132093,0.0,-0.012307692307692242,0.0024718406354773403,0.38636363636363646,0.02278794211783075,-0.3507206588881263,-0.5557729941291585,0.0,0.0
2001-03-01,1.5578315454545455,6.75,3.5231908414908792,33421.15411558669,250.79749999999999,1999.3631868636357,262.5739285714286,11806462.056419823,39796.62475512753,2862.309002606592,19017.665288361877,12893.305000141128,79.74653314230423,36.839195173873755,8549.0,36712.0,45261.0,25846.0,39000.0,6.3,69.0,64.7,4905287.460031617,925.0,191476.2205,1015.0,387.0,6.75,5.25,0.02355538769614207,-0.06896551724137934,0.0760128089869978,0.0001959670309972239,-0.028857696030977764,-0.1921177238458578,0.004833816939172175,0.0014619750968640766,0.05667591078327994,0.1021889895429442,0.1010479267002049,0.09870156651833728,-0.001712752038101617,0.0005173289357442989,0.0,0.0,0.0,0.0,0.0,-0.01562500000000011,0.005830903790087438,0.007788161993769416,0.0021656964655076827,0.26366120218579225,0.007818892566067603,0.07293868921775903,0.7048458149779735,-0.06896551724137934,-0.2616033755274262
2001-04-01,1.5586287368421055,6.625,3.6,33411.95796847636,247.60000000000002,1929.5815124000005,260.0738095238095,11827345.0,41662.0,3997.0,20786.0,14852.0,79.6002202182328,36.8612261240604,8549.0,36712.0,45261.0,25846.0,39000.0,6.2,69.2,65.0,4916690.735023336,836.0,189802.6914,1503.0,1151.0,6.5,4.86,0.0005117314448317423,-0.01851851851851849,0.021801021280078547,-0.00027515947170830835,-0.01274932963845321,-0.03490195024201703,-0.009521581450303906,0.0017687723452108894,0.04687269979176123,0.3964250527668709,0.09298379610878316,0.15191566474518603,-0.0018347245743001173,0.0005980301709269664,0.0,0.0,0.0,0.0,0.0,-0.015873015873015817,0.0028985507246377384,0.004636785162287493,0.0023246904660800816,-0.09621621621621623,-0.008740140658876183,0.4807881773399014,1.9741602067183464,-0.03703703703703709,-0.07428571428571418
2001-05-01,1.5412870909090906,6.45,3.4754763827043007,33549.865148861645,254.80200000000005,2178.740467409091,271.75559999999996,11849356.006135572,42969.07155907102,5936.427696710189,22333.20336899794,17424.209403768145,79.46379666936278,36.883488865342976,8549.0,36712.0,45261.0,25846.0,39000.0,6.1,69.6,65.4,4927393.091134402,958.0,191658.3372,1810.0,175.0,6.25,5.44,-0.011126219813032745,-0.026415094339622636,-0.03458989369324983,0.0041274797638437555,0.02908723747980635,0.12912590290066994,0.04491721214673494,0.001861026809953703,0.031373231219600894,0.4852208398074027,0.07443487775415858,0.1731894292868399,-0.0017138589377768687,0.0006039609536494517,0.0,0.0,0.0,0.0,0.0,-0.016129032258064613,0.005780346820809079,0.006153846153846176,0.002176739739766287,0.14593301435406691,0.00977670962573085,0.20425815036593487,-0.8479582971329279,-0.038461538461538436,0.11934156378600824
2001-06-01,1.5255614285714287,6.25,3.1507085402910104,33500.66199649737,247.9125,2110.6643008095243,270.2369230769231,11873725.399963137,43577.08226255535,8484.95133925454,23481.416059521875,20341.47062981456,79.32816759243622,36.907467580473664,8549.0,36712.0,45261.0,25846.0,39000.0,6.3,69.7,65.3,4938108.018772225,1024.0,193900.3486,1928.0,411.0,6.25,5.44,-0.010202941703992607,-0.03100775193798455,-0.0934455616011366,-0.001466567813192654,-0.027038641768903138,-0.031245652071869356,-0.005588392375637685,0.002056600697535549,0.014149961389053445,0.42930256591125926,0.05141280771740231,0.16742574417267564,-0.0017068033823112172,0.0006501205788376208,0.0,0.0,0.0,0.0,0.0,0.032786885245901676,0.001436781609195581,-0.00152905198776776,0.002174563189834,0.06889352818371597,0.011697959153534665,0.06519337016574589,1.3485714285714288,0.0,0.0
2001-07-01,1.5281568636363632,6.125,2.7,33336.94395796848,240.2525,2039.1637951428572,267.13692307692304,11897534.0,42152.0,9632.0,22560.0,20916.0,79.2020832504806,36.93161525557307,8549.0,36712.0,45261.0,25846.0,39000.0,6.0,70.2,65.9,4948144.232282747,832.0,193513.4207,617.0,831.0,6.0,4.5,0.0017012982999740078,-0.020000000000000018,-0.14304989957889958,-0.004887009055105085,-0.030897998285685513,-0.03387583029629282,-0.01147141539617691,0.002005149962196029,-0.032702562644490896,0.13518623912889005,-0.03924022542704508,0.02824423959511302,-0.0015894019209343746,0.0006542761311583156,0.0,0.0,0.0,0.0,0.0,-0.04761904761904756,0.007173601147776099,0.009188361408882129,0.002032400561585268,-0.1875,-0.0019954987332085894,-0.6799792531120332,1.0218978102189782,-0.040000000000000036,-0.17279411764705888
2001-08-01,1.538819304347826,5.95,2.102693650985479,33562.427320490366,234.712,1937.8899880434778,272.12518518518516,11922131.970976178,38370.92401351131,9129.107656399638,19226.521226030498,18746.15626378795,79.07713802069888,36.95754173564781,8549.0,36712.0,45261.0,25846.0,39000.0,6.0,69.8,65.7,4958170.812566671,903.0,204706.8538,1779.0,657.0,5.75,4.66,0.006977320826927924,-0.02857142857142858,-0.221224573709082,0.00676376823281033,-0.02306115441046408,-0.04966438073322332,0.018673053693988084,0.0020674848230042286,-0.08970098658399828,-0.05221058384555255,-0.14776058395254887,-0.10374085562306601,-0.0015775497897771995,0.0007020131639334792,0.0,0.0,0.0,0.0,0.0,0.0,-0.005698005698005826,-0.003034901365705611,0.0020263314513970787,0.08533653846153855,0.057843187617219405,1.8833063209076175,-0.20938628158844763,-0.04166666666666663,0.03555555555555556
2001-09-01,1.5650705000000003,5.5,1.4397852272494536,33387.283712784585,231.2,1582.9333416,281.7176000000001,11945669.100602359,32964.48239895179,7198.488379673295,14147.393378855224,14375.661714410478,78.95762228700718,36.984458063481,8549.0,36712.0,45261.0,25846.0,39000.0,6.2,69.4,65.1,4967847.5769822225,733.0,191080.1446,1397.0,1364.0,5.25,3.5,0.017059310068442413,-0.0756302521008404,-0.3152662887555384,-0.0052184428150360285,-0.01496301850778825,-0.18316656189645075,0.035250007485662094,0.001974238305991083,-0.14089943762250245,-0.21147951688059574,-0.26417300287785395,-0.2331408363334717,-0.001511381629168418,0.0007283040637746652,0.0,0.0,0.0,0.0,0.0,0.03333333333333344,-0.005730659025787843,-0.009132420091324311,0.0019516803235228863,-0.18826135105204878,-0.06656694168781174,-0.21472737492973581,1.0761035007610351,-0.08695652173913049,-0.24892703862660948
2001-10-01,1.5702768260869566,4.95,1.1,33488.85814360771,226.01799999999997,1646.3760880000002,282.44222222222226,11961789.0,30039.0,5511.0,11177.0,11302.0,78.84713150302079,37.01144858958282,8549.0,36712.0,45261.0,25846.0,39000.0,6.6,69.4,64.8,4976879.116406676,796.0,192292.6357,1111.0,327.0,4.5,1.5,0.0033265760788132592,-0.09999999999999998,-0.2359971618118173,0.003042308913085545,-0.022413494809688683,0.04007922805888553,0.00257215815491163,0.0013494346161679882,-0.08874649883915109,-0.2344226024505831,-0.20996047111369587,-0.2138101031780243,-0.0013993681773339928,0.0007297802243173557,0.0,0.0,0.0,0.0,0.0,0.06451612903225801,0.0,-0.004608294930875556,0.0018179984962301,0.0859481582537518,0.006345458354860556,-0.20472440944881887,-0.7602639296187683,-0.1428571428571429,-0.5714285714285714
