Area,Sales,Avg_Price,Med_Price
E01,12,"$988,067","$795,000"
E02,10,"$799,099","$712,000"
E03,8,"$515,475","$402,000"
E04,19,"$447,326","$442,000"
E05,21,"$502,286","$505,000"
E06,10,"$546,860","$480,000"
E07,35,"$484,957","$472,000"
E08,13,"$464,054","$460,000"
E09,31,"$513,635","$515,000"
E10,4,"$369,250","$380,000"
E11,26,"$402,865","$385,000"
