Area,Sales,Avg_Price,Med_Price
C01,330,"$840,549","$738,000"
C02,45,"$1,383,845","$929,000"
C03,11,"$948,163","$875,000"
C04,8,"$944,225","$999,000"
C06,7,"$609,071","$650,000"
C07,57,"$681,797","$650,000"
C08,127,"$784,236","$715,000"
C09,11,"$1,034,547","$1,106,000"
C10,37,"$796,530","$749,000"
C11,18,"$564,278","$512,500"
C12,9,"$1,248,778","$1,030,000"
C13,21,"$533,419","$526,000"
C14,70,"$684,642","$683,000"
C15,94,"$631,049","$590,000"
