Date,Area,Sales,Avg_Price,Med_Price
2009-6-01,W01,31,"$292,619","$265,000"
2009-6-01,W02,12,"$308,269","$280,714"
2009-6-01,W03,10,"$199,275","$196,000"
2009-6-01,W04,18,"$141,461","$140,000"
2009-6-01,W05,35,"$148,523","$149,000"
2009-6-01,W06,64,"$292,287","$275,000"
2009-6-01,W07,29,"$294,855","$288,000"
2009-6-01,W08,60,"$263,171","$216,500"
2009-6-01,W09,21,"$198,143","$155,000"
2009-6-01,W10,47,"$157,039","$147,000"
