Date,Area,Sales,Avg_Price,Med_Price
2016-7-01,C01,577,"$476,344","$430,000"
2016-7-01,C02,38,"$1,002,339","$744,750"
2016-7-01,C03,8,"$599,188","$582,500"
2016-7-01,C04,23,"$472,648","$435,000"
2016-7-01,C06,29,"$377,145","$335,000"
2016-7-01,C07,81,"$423,129","$403,500"
2016-7-01,C08,172,"$462,057","$416,500"
2016-7-01,C09,17,"$670,159","$644,900"
2016-7-01,C10,24,"$520,091","$464,440"
2016-7-01,C11,23,"$347,483","$347,000"
2016-7-01,C12,11,"$620,682","$625,000"
2016-7-01,C13,41,"$370,465","$328,000"
2016-7-01,C14,133,"$429,504","$399,000"
2016-7-01,C15,102,"$393,994","$350,000"
