Date,Area,Sales,Avg_Price,Med_Price
2021-3-01,C01,704,"$778,753","$699,950"
2021-3-01,C02,60,"$1,089,962","$893,750"
2021-3-01,C03,27,"$855,359","$792,500"
2021-3-01,C04,22,"$802,264","$669,000"
2021-3-01,C06,25,"$607,287","$599,900"
2021-3-01,C07,91,"$688,942","$657,770"
2021-3-01,C08,336,"$732,695","$680,000"
2021-3-01,C09,17,"$1,363,095","$1,120,000"
2021-3-01,C10,84,"$746,575","$720,500"
2021-3-01,C11,30,"$569,557","$560,000"
2021-3-01,C12,6,"$891,633","$884,900"
2021-3-01,C13,48,"$593,553","$557,500"
2021-3-01,C14,150,"$693,526","$659,950"
2021-3-01,C15,153,"$648,625","$600,000"
