Date,Area,Sales,Avg_Price,Med_Price
2006-9-01,C01,197,"$286,834","$258,000"
2006-9-01,C02,22,"$374,114","$365,750"
2006-9-01,C03,7,"$617,509","$621,000"
2006-9-01,C04,15,"$272,433","$277,000"
2006-9-01,C06,9,"$233,100","$227,000"
2006-9-01,C07,45,"$251,271","$240,100"
2006-9-01,C08,78,"$289,409","$272,000"
2006-9-01,C09,11,"$441,318","$338,000"
2006-9-01,C10,21,"$305,480","$279,000"
2006-9-01,C11,10,"$203,800","$194,500"
2006-9-01,C12,6,"$708,983","$400,450"
2006-9-01,C13,24,"$234,221","$209,000"
2006-9-01,C14,137,"$261,784","$243,500"
2006-9-01,C15,37,"$227,654","$195,000"
