Date,Area,Sales,Avg_Price,Med_Price
2015-1-01,C01,192,"$429,569","$371,500"
2015-1-01,C02,20,"$887,395","$629,750"
2015-1-01,C03,5,"$495,141","$515,000"
2015-1-01,C04,12,"$652,325","$384,950"
2015-1-01,C06,7,"$408,929","$375,000"
2015-1-01,C07,33,"$368,345","$350,000"
2015-1-01,C08,76,"$436,034","$410,500"
2015-1-01,C09,11,"$623,673","$550,000"
2015-1-01,C10,17,"$490,494","$428,000"
2015-1-01,C11,9,"$242,167","$217,000"
2015-1-01,C12,2,"$681,000","$681,000"
2015-1-01,C13,20,"$291,168","$300,000"
2015-1-01,C14,68,"$378,845","$353,500"
2015-1-01,C15,36,"$338,722","$327,000"
