Date,Area,Sales,Avg_Price,Med_Price
2016-5-01,C01,616,"$493,546","$425,000"
2016-5-01,C02,40,"$903,617","$654,000"
2016-5-01,C03,15,"$801,140","$625,000"
2016-5-01,C04,21,"$562,788","$439,900"
2016-5-01,C06,18,"$356,122","$324,000"
2016-5-01,C07,95,"$432,138","$405,000"
2016-5-01,C08,202,"$487,645","$426,500"
2016-5-01,C09,16,"$841,438","$589,500"
2016-5-01,C10,50,"$498,687","$488,284"
2016-5-01,C11,16,"$341,399","$337,500"
2016-5-01,C12,16,"$1,032,500","$818,750"
2016-5-01,C13,49,"$389,344","$352,000"
2016-5-01,C14,155,"$443,975","$415,000"
2016-5-01,C15,115,"$394,368","$360,000"
