Date,Area,Sales,Avg_Price,Med_Price
2015-9-01,C01,385,"$463,326","$405,000"
2015-9-01,C02,30,"$1,167,154","$717,500"
2015-9-01,C03,10,"$545,970","$405,950"
2015-9-01,C04,11,"$720,818","$520,000"
2015-9-01,C06,9,"$325,111","$329,000"
2015-9-01,C07,62,"$405,539","$377,500"
2015-9-01,C08,112,"$426,306","$385,000"
2015-9-01,C09,13,"$666,577","$575,000"
2015-9-01,C10,36,"$584,939","$486,500"
2015-9-01,C11,18,"$264,359","$255,750"
2015-9-01,C12,12,"$1,205,525","$728,000"
2015-9-01,C13,39,"$433,392","$335,000"
2015-9-01,C14,116,"$408,009","$381,600"
2015-9-01,C15,85,"$370,559","$343,500"
