Date,Area,Sales,Avg_Price,Med_Price
2011-6-01,C01,464,"$409,610","$364,745"
2011-6-01,C02,51,"$732,113","$515,000"
2011-6-01,C03,9,"$515,111","$470,000"
2011-6-01,C04,17,"$438,788","$320,000"
2011-6-01,C06,15,"$303,293","$307,000"
2011-6-01,C07,80,"$331,712","$315,250"
2011-6-01,C08,173,"$407,641","$375,000"
2011-6-01,C09,15,"$638,460","$479,900"
2011-6-01,C10,54,"$514,383","$408,500"
2011-6-01,C11,22,"$224,753","$208,250"
2011-6-01,C12,6,"$433,000","$425,500"
2011-6-01,C13,34,"$350,264","$307,157"
2011-6-01,C14,152,"$373,127","$352,900"
2011-6-01,C15,60,"$362,271","$337,000"
