Date,Area,Sales,Avg_Price,Med_Price
2016-9-01,C01,488,"$530,452","$452,000"
2016-9-01,C02,32,"$868,578","$697,450"
2016-9-01,C03,10,"$688,460","$687,000"
2016-9-01,C04,11,"$586,327","$444,000"
2016-9-01,C06,11,"$385,645","$374,000"
2016-9-01,C07,84,"$456,348","$440,500"
2016-9-01,C08,160,"$488,481","$439,995"
2016-9-01,C09,9,"$615,767","$560,000"
2016-9-01,C10,39,"$553,133","$453,000"
2016-9-01,C11,17,"$295,753","$285,000"
2016-9-01,C12,3,"$983,333","$750,000"
2016-9-01,C13,40,"$394,873","$357,500"
2016-9-01,C14,150,"$449,237","$418,500"
2016-9-01,C15,108,"$377,064","$340,500"
