Date,Area,Sales,Avg_Price,Med_Price
2007-6-01,C01,336,"$315,207","$281,000"
2007-6-01,C02,27,"$781,242","$605,000"
2007-6-01,C03,5,"$452,680","$389,000"
2007-6-01,C04,24,"$258,986","$222,000"
2007-6-01,C06,10,"$254,990","$256,500"
2007-6-01,C07,70,"$254,980","$251,400"
2007-6-01,C08,123,"$309,449","$271,000"
2007-6-01,C09,17,"$589,200","$401,500"
2007-6-01,C10,28,"$364,827","$319,000"
2007-6-01,C11,24,"$178,045","$190,250"
2007-6-01,C12,12,"$413,892","$419,300"
2007-6-01,C13,53,"$245,779","$224,000"
2007-6-01,C14,161,"$289,934","$273,000"
2007-6-01,C15,71,"$256,971","$242,800"
