Date,Area,Sales,Avg_Price,Med_Price
2021-1-01,C01,468,"$681,070","$630,000"
2021-1-01,C02,37,"$756,051","$680,000"
2021-1-01,C03,9,"$711,556","$675,000"
2021-1-01,C04,16,"$658,213","$606,750"
2021-1-01,C06,17,"$536,506","$545,000"
2021-1-01,C07,63,"$636,185","$625,000"
2021-1-01,C08,221,"$659,305","$620,000"
2021-1-01,C09,12,"$1,072,417","$999,000"
2021-1-01,C10,60,"$674,868","$633,500"
2021-1-01,C11,26,"$502,196","$483,300"
2021-1-01,C12,1,"$1,530,000","$1,530,000"
2021-1-01,C13,21,"$582,852","$555,000"
2021-1-01,C14,97,"$639,629","$613,500"
2021-1-01,C15,97,"$579,462","$550,000"
