Date,Area,Sales,Avg_Price,Med_Price
2020-9-01,C01,361,"$772,246","$663,000"
2020-9-01,C02,46,"$1,557,065","$992,500"
2020-9-01,C03,10,"$816,950","$701,500"
2020-9-01,C04,9,"$928,089","$878,800"
2020-9-01,C06,16,"$565,006","$574,600"
2020-9-01,C07,47,"$628,485","$615,000"
2020-9-01,C08,169,"$695,038","$628,800"
2020-9-01,C09,12,"$1,864,292","$1,285,750"
2020-9-01,C10,47,"$692,215","$673,000"
2020-9-01,C11,18,"$617,689","$476,000"
2020-9-01,C12,9,"$1,080,333","$899,000"
2020-9-01,C13,45,"$597,844","$560,000"
2020-9-01,C14,77,"$614,038","$610,000"
2020-9-01,C15,87,"$615,358","$550,000"
