"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Canada","CAN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30805025981","30538739415","26149995016","27247838004","28135169998","33776153653","32769499866","29530952353","28847379685","26796566317","27599664924","31036316910","32423076385","",
"Canada","CAN","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","0.310708277543173","0.29336567457716","0.212934135600329","0.328587075575027","0.200211403345147","0.233970647318791","0.225057771526173","0.177683013503909","0.26550974811006","0.212009683874669","0.639456432179406","0.644490531323655","0.432317505315379","0.402112319087285","0.890976365222078","0.97899676308924","0.926126623184693","1.33945278509291","1.307850821588","1.3809842364363","1.74375600703349","1.94837159034972","2.35906462792725","1.58756218516521","1.50472948204392","1.07268433250791","0.861894071301335","0.836630726608894","0.905556492951191","0.966807043467292","0.844884038134703","0.973094175162472","0.591210439580134","0.70767246986147","0.548852624973118","0.695038066117891","0.622602541973943","0.693826288215259","0.556828554025573","0.448896875317016","0.427880853778214","0.403433357699992","0.48035440617888","0.505499288662413","0.561646674095907","0.605376250062371","0.688204179039133","0.964686610154975","1.17215217938128","1.58275972287615","1.13569154744209","1.04698975714134","1.25617185180791","1.05731760212322","1.08942661341571","1.10727841628139","1.02550434060575","0.991946519607726","1.05658670943617","1.27583811292586","",
"Canada","CAN","Import value index (2000 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.65036891","71.47660329","82.05966222","84.18403615","89.95252841","100","92.85597562","92.94095058","100.0992736","114.3611762","131.7156771","146.6633031","159.404971","171.1798446","134.7780438","164.5123336","189.4124472","194.5828465","194.3709251","194.1836274","175.7201322","168.6997267","181.2463901","192.2239594","189.4216486","",
"Canada","CAN","Insurance and financial services (% of commercial service imports)","TM.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","8.21247294879091","9.25502515000863","9.12587277715427","8.91620080218697","9.80552534453993","8.96884900945248","8.65462639435096","7.13709045053035","7.09318263445084","6.13619135197781","6.83774166626142","6.74311443657618","6.96283373112022","7.67484413875137","7.38976426187184","8.35837236589206","8.75475167434623","8.70401373950904","8.0138389035533","7.89004618432891","8.72541830811042","9.42466483453975","9.23115606657495","8.57514676143004","8.71508989791751","9.65520652406076","9.7133785135829","8.97752295715337","9.67143368199878","10.443172400349","9.44993134753953","8.59391559177796","8.93179346627533","9.25555449778577","10.3484208217867","11.4725436756301","11.0153203544657","11.4047666642813","10.7808408143961","",
"Canada","CAN","Share of tariff lines with specific rates, all products (%)","TM.TAX.MRCH.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5082424","","","","3.356277","","1.086578","0.0955965","0.1249454","0.2787189","1.163193","0.2890802","0.2870333","0.192467","0.1629114","0.0396856","0.1012496","0.0382806","0.0527516","0.0367738","0.0426784","0.1629235","0.1761066","0.1978509","0.203655","0","0.2047622","0.1832772","0.1670174","0.1701762","0.1698399","",
"Canada","CAN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.35243156573587","6.62159344564353","5.98283492726675","5.55493276858569","5.40184731174687","5.27695706623055","5.46185275683671","5.27063332991546","5.52716458248518","5.71925520601101","5.90536053070774","6.06690040020077","6.60258110944785","6.66757986949725","7.32840564644529","7.44257363063498","7.25592432657076","","","","","","","","","",
"Canada","CAN","Rural population","SP.RUR.TOTL","5540868","5541960","5492247","5441341","5390322","5334312","5284252","5275481","5256115","5223145","5191541","5251122","5338874","5431539","5535266","5644413","5744499","5802629","5851095","5899610","5966378","6028261","6059713","6079070","6095759","6110627","6133043","6209133","6284808","6393132","6484711","6555149","6557450","6553895","6550090","6541741","6528757","6477628","6415815","6352957","6297326","6263120","6307139","6339248","6373758","6409413","6444858","6447564","6457255","6470872","6482352","6491507","6548144","6603314","6655859","6691082","6752474","6815698","6890046","6961543","",
"Canada","CAN","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","13.143637584883","13.1806374160247","13.1894716576667","13.1801538150606","13.1644921717832","13.1504668174886","13.0976617451451","13.0478799963956","13.0090208227593","12.9833290475317","12.9711663397111","12.9616842765421","12.9497199800553","12.9480929334936","12.9701069682967","13.0227392396087","13.1848549077176","13.3591671142628","13.540973796987","13.7221465848533","13.9020355635678","14.0914404837757","14.2731667850417","14.4683517969222","14.7007485201671","14.9816197146718","15.2544430547144","15.5592676329562","15.885927036514","16.2150777588001","16.5344262785705","16.806163892106","17.0498319604284","17.2699118753374","17.473213677302","17.6668421562534","17.8467657245848","18.0093679496338","18.1562003010994","18.2866292779162","18.4044659263043","18.5030792543519","18.588291365168","18.6776173616186","18.7932376923646","18.9542192519727","19.1383458805105","19.3534429469416","19.6209781435714","19.966596980713","20.4067248747659","20.9033442563951","21.4862568946317","22.1501515195879","22.869566984602","23.6239580873197","24.3248353899332","25.0306491495362","25.758727285992","26.5357173197655","",
"Canada","CAN","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","2.75610647840573","2.74466769257603","2.74471965211979","2.74977143748323","2.75864638598819","2.77408051521345","2.77775207712663","2.80228636633661","2.84460118803932","2.89833876089113","2.95744413784382","2.99079392999356","3.02716902700778","3.07334007880602","3.13646296446452","3.21657977484792","3.28770339489687","3.37666493887997","3.47122147328001","3.55320457628984","3.61328828470537","3.63221877631432","3.6336428394089","3.6366459512049","3.66678172427096","3.7340718101534","3.7984948051329","3.89845778886129","4.01302587220741","4.10910513240102","4.16584501731909","4.15777532261777","4.11903991577208","4.06363685830665","4.0112316049765","3.97254138153067","3.92316113901631","3.88832805050209","3.86439521626978","3.84534586830784","3.82872288467893","3.79979416928501","3.77680610721966","3.76775179306796","3.78473101004998","3.83498380805715","3.88966294196593","3.97269936454836","4.08486252416082","4.22649334396605","4.39520304772391","4.57438122658969","4.78310183680529","5.00309023902645","5.20541080353063","5.37119002694008","5.49175836862932","5.57490406540162","5.63829547504964","5.70897997081841","",
"Canada","CAN","Population ages 25-29, female (% of female population)","SP.POP.2529.FE.5Y","6.73835932189252","6.56826890482901","6.42399734536686","6.31230416335906","6.24256241414357","6.22192439255689","6.26535166938468","6.37856143359982","6.55932538654178","6.79363469301813","7.06103508011883","7.32888693633502","7.62196699753389","7.92645176547599","8.22023611907498","8.48371678850615","8.6399965339148","8.74481537195934","8.80636803218851","8.85554135704029","8.92305470814045","9.02179410339854","9.12421036833378","9.21078663548251","9.26897552396764","9.30016030608911","9.35194868624787","9.39026114757259","9.38041965756186","9.28194887805744","9.08258270954003","8.79600850611271","8.42223008612897","8.01016620618584","7.62998708401117","7.32344815100678","7.08682120356187","6.91450470127587","6.79076970075459","6.69176355330279","6.60662716997555","6.5732523403055","6.55630947442371","6.54922727627882","6.55127092841196","6.56521117471261","6.629727519431","6.70956469309317","6.79160662608718","6.86147239610165","6.911889612768","6.93188824070526","6.91671352355792","6.86520375118371","6.80519700109265","6.7729936302927","6.81071054133978","6.89557557113123","6.9966086330172","7.06420480169784","",
