Area,Sales,Avg_Price,Med_Price
E1,-,-,-
E2,4,"171,500","186,500"
E3,50,"104,870","98,000"
E4,18,"104,606","110,000"
E5,39,"141,444","143,000"
E6,1,"181,500","181,500"
E7,30,"115,971","118,500"
E8,28,"121,028","120,993"
E9,20,"134,589","135,694"
E10,3,"95,667","90,000"
E11,27,"108,488","108,000"
