Date,Area,Sales,Avg_Price,Med_Price
2000-01-01,C13,7,184071,190000
2000-02-01,C13,15,185293,174000
2000-04-01,C13,12,230625,223500
2000-05-01,C13,13,176577,160000
2000-06-01,C13,24,184811,161500
2000-08-01,C13,19,207147,192000
2000-09-01,C13,14,216271,166750
2000-10-01,C13,21,197024,180000
2000-11-01,C13,21,207229,179500
2000-12-01,C13,9,192222,215000
2001-01-01,C13,11,172909,160000
2001-02-01,C13,18,191494,201450
2001-03-01,C13,28,209425,187500
2001-04-01,C13,17,219206,195000
2001-05-01,C13,24,201829,182000
2001-06-01,C13,29,227686,194000
2001-07-01,C13,21,226105,190000
2001-08-01,C13,22,220214,206500
2001-09-01,C13,15,219293,187000
2001-10-01,C13,17,242106,232000
2001-11-01,C13,15,213000,202000
2001-12-01,C13,17,240153,225000
2002-01-01,C13,18,218994,197500
2002-02-01,C13,26,253073,212500
2002-03-01,C13,30,205597,184500
2002-04-01,C13,29,224407,220800
2002-05-01,C13,20,242764,225250
2002-06-01,C13,24,247438,217500
2002-07-01,C13,14,248093,237000
2002-08-01,C13,15,221413,212000
2002-09-01,C13,18,235591,202995
2002-10-01,C13,19,225231,210500
2002-11-01,C13,24,217575,182250
2002-12-01,C13,16,207100,179500
2003-01-01,C13,15,252400,223000
2003-02-01,C13,16,222400,197000
2003-03-01,C13,28,230936,207500
2003-04-01,C13,23,208017,189000
2003-05-01,C13,27,219889,200000
2003-06-01,C13,31,222060,187000
2003-07-01,C13,18,217633,200000
2003-08-01,C13,18,237005,219000
2003-09-01,C13,21,271919,232000
2003-10-01,C13,19,200863,180000
2003-11-01,C13,20,225394,205944
2003-12-01,C13,19,220084,216000
2004-01-01,C13,18,268739,251400
2004-02-01,C13,21,226952,212000
2004-03-01,C13,22,225500,211750
2004-04-01,C13,23,237448,224000
2004-05-01,C13,25,232888,200000
2004-06-01,C13,27,231930,213000
2004-07-01,C13,22,246923,227000
2004-08-01,C13,21,234571,210000
2004-09-01,C13,27,230970,212000
2004-10-01,C13,21,255595,208000
2004-11-01,C13,21,247038,205000
2004-12-01,C13,20,276700,272750
2005-01-01,C13,11,213191,170000
2005-02-01,C13,15,270699,215000
2005-03-01,C13,25,222024,204000
2005-04-01,C13,31,252650,221000
2005-05-01,C13,43,232430,208900
2005-06-01,C13,32,217716,205000
2005-07-01,C13,26,229769,205500
2005-08-01,C13,30,221310,211500
2005-09-01,C13,28,235833,209900
2005-10-01,C13,29,244507,230000
2005-11-01,C13,24,244171,215000
2005-12-01,C13,12,232708,198000
2006-01-01,C13,18,252500,212500
2006-02-01,C13,26,256938,229000
2006-03-01,C13,32,251156,214000
2006-04-01,C13,37,283627,260000
2006-05-01,C13,39,235884,210000
2006-06-01,C13,38,254423,233000
2006-07-01,C13,28,236325,211500
2006-08-01,C13,27,251505,220000
2006-09-01,C13,24,234221,209000
2006-10-01,C13,21,250919,218000
2006-11-01,C13,15,260233,235000
2006-12-01,C13,21,229733,199000
2007-01-01,C13,13,246461,225000
2007-02-01,C13,26,257154,242750
2007-03-01,C13,22,242318,212500
2007-04-01,C13,29,225048,215000
2007-05-01,C13,45,267713,242000
2007-06-01,C13,53,245779,224000
2007-07-01,C13,32,256928,224250
2007-08-01,C13,27,219942,212000
2007-09-01,C13,23,273682,252000
2007-10-01,C13,30,263854,215000
2007-11-01,C13,33,251242,226000
2007-12-01,C13,21,216562,208000
2008-01-01,C13,25,250136,222000
2008-02-01,C13,26,236158,218500
2008-03-01,C13,32,287500,246000
2008-04-01,C13,40,255355,230500
2008-05-01,C13,43,266028,244000
2008-06-01,C13,27,308007,279000
