Area,Sales,Avg_Price,Med_Price
E-1,4,"172,900","162,900"
E-2,5,"240,700","232,000"
E-3,40,"136,343","129,750"
E-4,36,"132,949","128,000"
E-5,59,"169,136","163,000"
E-6,4,"145,125","141,500"
E-7,49,"156,945","156,000"
E-8,28,"131,775","134,500"
E-9,40,"153,770","152,750"
E-10,1,"143,800","143,800"
E-11,35,"125,572","128,000"
