Area,Sales,Avg_Price,Med_Price
E-1,-,-,-
E-2,-,-,-
E-3,44,"105,977","97,000"
E-4,18,"92,969","94,750"
E-5,44,"129,750","122,250"
E-6,6,"134,833","134,000"
E-7,34,"120,138","124,150"
E-8,32,"97,031","97,000"
E-9,10,"126,318","125,000"
E-10,1,"109,000","109,000"
E-11,21,"92,810","90,000"
