Area,Sales,Avg_Price,Med_Price
C-1,67,"175,710","133,000"
C-2,15,"334,267","200,000"
C-3,7,"260,771","260,000"
C-4,13,"199,024","170,500"
C-6,1,"132,500","132,500"
C-7,22,"160,609","142,750"
C-8,41,"139,950","136,000"
C-9,8,"333,725","257,500"
C-10,4,"147,513","129,450"
C-11,12,"84,542","75,000"
C-12,1,"212,000","212,000"
C-13,24,"146,267","140,000"
C-14,22,"184,814","185,500"
C-15,20,"138,324","121,800"
