Area,Sales,Avg_Price,Med_Price
E1,-,-,-
E2,1,"123,000","123,000"
E3,28,"96,554","88,750"
E4,17,"82,206","84,000"
E5,28,"147,811","137,500"
E6,4,"121,275","119,500"
E7,17,"114,809","118,000"
E8,26,"108,829","96,000"
E9,7,"116,700","104,900"
E10,-,-,-
E11,15,"94,300","100,000"
