Area,Sales,Avg_Price,Med_Price
C-1,54,"168,066","139,399"
C-2,11,"292,682","155,000"
C-3,4,"228,000","244,000"
C-4,8,"182,888","169,250"
C-6,2,"137,500","137,500"
C-7,23,"156,152","150,000"
C-8,30,"145,350","132,750"
C-9,6,"311,167","229,500"
C-10,5,"168,840","167,500"
C-11,19,"91,916","81,000"
C-12,-,-,-
C-13,16,"162,825","140,750"
C-14,19,"181,937","163,000"
C-15,28,"142,175","120,000"
