Area,Date,Sales,Avg_Price,Med_Price
C01,2013-03-01,305,436900,384000
C02,2013-03-01,26,839260,737450
C03,2013-03-01,3,404000,445000
C04,2013-03-01,17,474618,432500
C06,2013-03-01,13,323570,326000
C07,2013-03-01,41,365044,350000
C08,2013-03-01,122,417904,384200
C09,2013-03-01,6,794150,540000
C10,2013-03-01,32,423262,415506
C11,2013-03-01,23,259844,229000
C12,2013-03-01,4,749750,757500
C13,2013-03-01,37,318216,290000
C14,2013-03-01,103,380684,362000
C15,2013-03-01,61,338313,332000
E01,2013-03-01,16,415697,359000
E02,2013-03-01,8,394500,387500
E03,2013-03-01,5,291900,194000
E04,2013-03-01,32,179916,166500
E05,2013-03-01,40,273482,243350
E06,2013-03-01,3,531800,419900
E07,2013-03-01,32,220958,225000
E08,2013-03-01,15,192633,160000
E09,2013-03-01,51,251414,248000
E10,2013-03-01,5,158600,158000
E11,2013-03-01,18,156911,153000
W01,2013-03-01,13,425731,319000
W02,2013-03-01,18,425783,417950
W03,2013-03-01,8,243688,226500
W04,2013-03-01,25,179064,155000
W05,2013-03-01,17,196582,174000
W06,2013-03-01,49,393139,335000
W07,2013-03-01,2,1011250,1011250
W08,2013-03-01,73,333853,300000
W09,2013-03-01,17,183429,117000
W10,2013-03-01,26,163635,166500
