Area,Date,Sales,Avg_Price,Med_Price
C01,2005-06-01,240,281986,235000
C02,2005-06-01,31,479400,395000
C03,2005-06-01,9,496111,519000
C04,2005-06-01,26,281516,229750
C06,2005-06-01,4,231000,227250
C07,2005-06-01,58,268338,222250
C08,2005-06-01,133,253446,219900
C09,2005-06-01,14,407573,283500
C10,2005-06-01,30,280107,266500
C11,2005-06-01,25,180868,184000
C12,2005-06-01,6,529233,329700
C13,2005-06-01,32,217716,205000
C14,2005-06-01,140,237661,233750
C15,2005-06-01,56,208512,186950
E01,2005-06-01,1,325000,325000
E02,2005-06-01,8,295288,296950
E03,2005-06-01,30,171730,151000
E04,2005-06-01,33,148804,145500
E05,2005-06-01,48,185581,182250
E06,2005-06-01,1,190000,190000
E07,2005-06-01,47,169640,168000
E08,2005-06-01,22,157382,142250
E09,2005-06-01,61,180095,170000
E10,2005-06-01,2,146000,146000
E11,2005-06-01,20,138040,140000
W01,2005-06-01,13,251427,208250
W02,2005-06-01,7,250614,215000
W03,2005-06-01,7,157429,145000
W04,2005-06-01,18,143589,146000
W05,2005-06-01,28,137991,149000
W06,2005-06-01,50,340466,255500
W07,2005-06-01,10,274550,246500
W08,2005-06-01,40,243385,202500
W09,2005-06-01,23,155743,137500
W10,2005-06-01,35,146957,148000
