Area,Date,Sales,Avg_Price,Med_Price
C01,2017-07-01,397,585310,525000
C02,2017-07-01,28,1156461,638750
C03,2017-07-01,15,632821,584022
C04,2017-07-01,16,844141,605000
C06,2017-07-01,13,417577,412000
C07,2017-07-01,53,578608,538800
C08,2017-07-01,126,589276,537500
C09,2017-07-01,7,929286,864999
C10,2017-07-01,28,601039,519000
C11,2017-07-01,22,402432,359250
C12,2017-07-01,6,1222667,1133500
C13,2017-07-01,21,398576,400000
C14,2017-07-01,86,511390,461500
C15,2017-07-01,63,513659,450000
E01,2017-07-01,14,559343,549250
E02,2017-07-01,5,424000,465000
E03,2017-07-01,5,280600,230000
E04,2017-07-01,33,323417,330000
E05,2017-07-01,21,411633,395000
E06,2017-07-01,2,572450,572450
E07,2017-07-01,41,373037,382000
E08,2017-07-01,22,351227,334000
E09,2017-07-01,33,381900,365500
E10,2017-07-01,2,260000,260000
E11,2017-07-01,14,338554,351000
W01,2017-07-01,29,473817,440000
W02,2017-07-01,16,554563,522500
W03,2017-07-01,2,512450,512450
W04,2017-07-01,19,405363,389000
W05,2017-07-01,23,279474,270000
W06,2017-07-01,93,511765,445000
W07,2017-07-01,3,527667,535000
W08,2017-07-01,56,438776,397500
W09,2017-07-01,8,302470,269000
W10,2017-07-01,23,315386,325000
