Area,Date,Sales,Avg_Price,Med_Price
C01,2004-04-01,175,260554,233500
C02,2004-04-01,32,345917,296000
C03,2004-04-01,19,342237,330000
C04,2004-04-01,23,311524,226500
C06,2004-04-01,5,211800,215000
C07,2004-04-01,53,236960,225000
C08,2004-04-01,110,251985,221250
C09,2004-04-01,32,347268,327250
C10,2004-04-01,19,276995,267000
C11,2004-04-01,18,161128,139500
C12,2004-04-01,3,379333,385000
C13,2004-04-01,23,237448,224000
C14,2004-04-01,131,245881,223500
C15,2004-04-01,51,222412,205000
E01,2004-04-01,2,256000,256000
E02,2004-04-01,12,281700,242125
E03,2004-04-01,36,175807,153500
E04,2004-04-01,29,153429,147500
E05,2004-04-01,52,197158,206000
E06,2004-04-01,2,170900,170900
E07,2004-04-01,40,169143,172000
E08,2004-04-01,34,154144,154500
E09,2004-04-01,63,177111,178000
E10,2004-04-01,1,164000,164000
E11,2004-04-01,28,140009,142250
W01,2004-04-01,16,230128,230500
W02,2004-04-01,5,276900,272500
W03,2004-04-01,10,176550,166750
W04,2004-04-01,34,142274,143500
W05,2004-04-01,36,129664,137500
W06,2004-04-01,44,295932,258500
W07,2004-04-01,6,276083,218000
W08,2004-04-01,42,237667,188250
W09,2004-04-01,21,176971,183900
W10,2004-04-01,37,147749,146000
