Area,Date,Sales,Avg_Price,Med_Price
C01,2004-08-01,200,250110,221500
C02,2004-08-01,21,386857,250000
C03,2004-08-01,9,477789,314000
C04,2004-08-01,15,260740,231200
C06,2004-08-01,8,219363,220500
C07,2004-08-01,38,232213,228500
C08,2004-08-01,90,247117,220500
C09,2004-08-01,17,431318,385500
C10,2004-08-01,21,273755,265000
C11,2004-08-01,12,170213,149000
C12,2004-08-01,8,337800,340000
C13,2004-08-01,21,234571,210000
C14,2004-08-01,123,231146,224000
C15,2004-08-01,35,243703,210000
E01,2004-08-01,0,0,0
E02,2004-08-01,5,327980,383000
E03,2004-08-01,27,163559,151500
E04,2004-08-01,27,161168,163500
E05,2004-08-01,49,193374,168500
E06,2004-08-01,4,170000,172500
E07,2004-08-01,44,166830,165000
E08,2004-08-01,23,138235,132000
E09,2004-08-01,46,181643,178900
E10,2004-08-01,1,156900,156900
E11,2004-08-01,20,150885,155500
W01,2004-08-01,11,207790,200000
W02,2004-08-01,2,264500,264500
W03,2004-08-01,10,175850,168750
W04,2004-08-01,20,135150,138450
W05,2004-08-01,22,135795,134000
W06,2004-08-01,28,298054,225250
W07,2004-08-01,7,207286,198000
W08,2004-08-01,25,204986,179000
W09,2004-08-01,13,161223,126000
W10,2004-08-01,31,145755,145500
