Area,Date,Sales,Avg_Price,Med_Price
C01,2004-09-01,164,251821,227750
C02,2004-09-01,23,469826,382500
C03,2004-09-01,4,424000,397500
C04,2004-09-01,12,293167,233750
C06,2004-09-01,2,252000,252000
C07,2004-09-01,29,242810,243500
C08,2004-09-01,87,245760,225900
C09,2004-09-01,13,333062,326000
C10,2004-09-01,20,259825,239500
C11,2004-09-01,11,168045,160000
C12,2004-09-01,5,318980,301000
C13,2004-09-01,27,230970,212000
C14,2004-09-01,110,228477,215500
C15,2004-09-01,35,215811,195000
E01,2004-09-01,1,403000,403000
E02,2004-09-01,5,233900,210000
E03,2004-09-01,24,165115,159950
E04,2004-09-01,16,151338,151250
E05,2004-09-01,34,187024,170750
E06,2004-09-01,5,223800,199000
E07,2004-09-01,32,172205,172900
E08,2004-09-01,23,147887,150000
E09,2004-09-01,41,180341,178990
E10,2004-09-01,5,146800,148000
E11,2004-09-01,13,147223,149500
W01,2004-09-01,11,239655,227000
W02,2004-09-01,3,297300,269900
W03,2004-09-01,7,157986,155000
W04,2004-09-01,24,130369,129600
W05,2004-09-01,16,126706,131500
W06,2004-09-01,27,249185,224000
W07,2004-09-01,15,233401,219000
W08,2004-09-01,37,231578,186000
W09,2004-09-01,16,155500,136750
W10,2004-09-01,35,149363,150000
