Area,Date,Sales,Avg_Price,Med_Price
C01,2004-11-01,176,262566,230000
C02,2004-11-01,19,471547,345000
C03,2004-11-01,10,362131,319950
C04,2004-11-01,21,273114,241500
C06,2004-11-01,1,220000,220000
C07,2004-11-01,33,223520,227000
C08,2004-11-01,121,243895,217500
C09,2004-11-01,19,404545,338000
C10,2004-11-01,28,278053,269500
C11,2004-11-01,19,179068,170000
C12,2004-11-01,6,346833,348000
C13,2004-11-01,21,247038,205000
C14,2004-11-01,107,245033,232000
C15,2004-11-01,32,231066,187500
E01,2004-11-01,3,249600,258900
E02,2004-11-01,8,290113,291500
E03,2004-11-01,21,183781,155000
E04,2004-11-01,30,145963,147750
E05,2004-11-01,26,192296,191650
E06,2004-11-01,2,173500,173500
E07,2004-11-01,29,167431,168000
E08,2004-11-01,12,160090,157540
E09,2004-11-01,46,172165,171500
E10,2004-11-01,4,149625,158250
E11,2004-11-01,16,141938,148000
W01,2004-11-01,16,235813,232000
W02,2004-11-01,3,280667,317000
W03,2004-11-01,5,164800,146000
W04,2004-11-01,21,136090,138000
W05,2004-11-01,19,131513,145000
W06,2004-11-01,40,336509,250450
W07,2004-11-01,5,189880,182000
W08,2004-11-01,34,236159,180500
W09,2004-11-01,14,138643,131000
W10,2004-11-01,33,146661,149000
