Area,Date,Sales,Avg_Price,Med_Price
C01,2007-06-01,336,315207,281000
C02,2007-06-01,27,781242,605000
C03,2007-06-01,5,452680,389000
C04,2007-06-01,24,258986,222000
C06,2007-06-01,10,254990,256500
C07,2007-06-01,70,254980,251400
C08,2007-06-01,123,309449,271000
C09,2007-06-01,17,589200,401500
C10,2007-06-01,28,364827,319000
C11,2007-06-01,24,178045,190250
C12,2007-06-01,12,413892,419300
C13,2007-06-01,53,245779,224000
C14,2007-06-01,161,289934,273000
C15,2007-06-01,71,256971,242800
E01,2007-06-01,5,388280,395000
E02,2007-06-01,12,319133,301750
E03,2007-06-01,39,185710,160000
E04,2007-06-01,31,159142,162900
E05,2007-06-01,41,230441,220000
E06,2007-06-01,5,247000,235000
E07,2007-06-01,55,176783,176000
E08,2007-06-01,35,152183,146000
E09,2007-06-01,63,201768,202000
E10,2007-06-01,5,150400,142500
E11,2007-06-01,19,134836,144000
W01,2007-06-01,23,295370,249000
W02,2007-06-01,10,341850,311450
W03,2007-06-01,10,200550,217500
W04,2007-06-01,27,154919,156000
W05,2007-06-01,26,140713,146000
W06,2007-06-01,73,322192,269000
W07,2007-06-01,11,302358,284000
W08,2007-06-01,52,285556,224500
W09,2007-06-01,15,173284,190000
W10,2007-06-01,43,154678,149501
