Area,Date,Sales,Avg_Price,Med_Price
C01,2020-09-01,361,772246,663000
C02,2020-09-01,46,1557065,992500
C03,2020-09-01,10,816950,701500
C04,2020-09-01,9,928089,878800
C06,2020-09-01,16,565006,574600
C07,2020-09-01,47,628485,615000
C08,2020-09-01,169,695038,628800
C09,2020-09-01,12,1864292,1285750
C10,2020-09-01,47,692215,673000
C11,2020-09-01,18,617689,476000
C12,2020-09-01,9,1080333,899000
C13,2020-09-01,45,597844,560000
C14,2020-09-01,77,614038,610000
C15,2020-09-01,87,615358,550000
E01,2020-09-01,21,810190,715500
E02,2020-09-01,12,770418,742500
E03,2020-09-01,18,519561,451000
E04,2020-09-01,27,463863,445000
E05,2020-09-01,34,494110,488117
E06,2020-09-01,5,624600,557000
E07,2020-09-01,34,494608,494400
E08,2020-09-01,21,443190,420000
E09,2020-09-01,31,474829,460000
E10,2020-09-01,4,377000,389000
E11,2020-09-01,27,415552,405000
W01,2020-09-01,29,712548,640000
W02,2020-09-01,21,683190,586000
W03,2020-09-01,7,535357,517500
W04,2020-09-01,31,497699,520000
W05,2020-09-01,29,448734,470000
W06,2020-09-01,97,685219,612500
W07,2020-09-01,5,676340,674900
W08,2020-09-01,91,593024,535000
W09,2020-09-01,19,461095,425000
W10,2020-09-01,33,456708,466000
