Area,Date,Sales,Avg_Price,Med_Price
C01,2013-09-01,286,430976,383000
C02,2013-09-01,30,703030,586000
C03,2013-09-01,5,443798,434990
C04,2013-09-01,8,461125,376000
C06,2013-09-01,10,330940,336500
C07,2013-09-01,53,379673,359800
C08,2013-09-01,103,436445,409700
C09,2013-09-01,11,754864,667000
C10,2013-09-01,21,542968,390000
C11,2013-09-01,21,229500,199999
C12,2013-09-01,8,535850,429500
C13,2013-09-01,23,296517,280000
C14,2013-09-01,98,368466,355500
C15,2013-09-01,62,344541,343000
E01,2013-09-01,12,438666,421000
E02,2013-09-01,9,544767,512500
E03,2013-09-01,12,199917,155500
E04,2013-09-01,42,175707,166250
E05,2013-09-01,30,267083,236100
E06,2013-09-01,1,433000,433000
E07,2013-09-01,38,230226,238000
E08,2013-09-01,19,181542,175000
E09,2013-09-01,46,246729,246625
E10,2013-09-01,4,164250,157500
W01,2013-09-01,19,415315,371500
W02,2013-09-01,10,359420,346000
W03,2013-09-01,7,297571,290000
W04,2013-09-01,26,240981,236000
W05,2013-09-01,16,182313,181000
W06,2013-09-01,62,359230,335500
W07,2013-09-01,3,369133,370000
W08,2013-09-01,53,330140,329900
W09,2013-09-01,9,153778,109000
W10,2013-09-01,26,162185,164000
