Area,Date,Sales,Avg_Price,Med_Price
C01,2019-10-01,404,772158,683750
C02,2019-10-01,37,1168541,950000
C03,2019-10-01,15,709367,703000
C04,2019-10-01,17,814147,610000
C06,2019-10-01,13,499692,479000
C07,2019-10-01,52,623495,597000
C08,2019-10-01,163,747136,670000
C09,2019-10-01,12,1443658,1002500
C10,2019-10-01,47,763723,670000
C11,2019-10-01,14,530132,452000
C12,2019-10-01,9,1471278,1380000
C13,2019-10-01,36,590127,547500
C14,2019-10-01,100,616167,591500
C15,2019-10-01,85,630022,550000
E01,2019-10-01,20,757111,717000
E02,2019-10-01,12,686416,735495
E03,2019-10-01,12,500208,367350
E04,2019-10-01,29,404707,390000
E05,2019-10-01,30,466097,460456
E06,2019-10-01,12,610600,566000
E07,2019-10-01,39,448469,439000
E08,2019-10-01,22,401132,381500
E09,2019-10-01,35,454014,440000
E10,2019-10-01,5,304100,299999
E11,2019-10-01,24,357433,345000
W01,2019-10-01,21,637947,599000
W02,2019-10-01,19,640441,623000
W03,2019-10-01,7,547464,550000
W04,2019-10-01,38,488966,487700
W05,2019-10-01,27,420385,405000
W06,2019-10-01,85,637180,550000
W07,2019-10-01,3,1076333,1320000
W08,2019-10-01,76,531959,512500
W09,2019-10-01,22,365327,350944
W10,2019-10-01,33,395818,405000
