Area,Date,Sales,Avg_Price,Med_Price
C01,2000-01-01,42,232738,183500
C02,2000-01-01,11,255673,221500
C03,2000-01-01,1,289000,289000
C04,2000-01-01,8,249825,211750
C06,2000-01-01,1,144000,144000
C07,2000-01-01,14,185786,181000
C08,2000-01-01,28,177507,175400
C09,2000-01-01,2,214500,214500
C10,2000-01-01,5,197400,228000
C11,2000-01-01,17,136106,133000
C12,2000-01-01,2,298064,298063
C13,2000-01-01,7,184071,190000
C14,2000-01-01,29,203876,200000
C15,2000-01-01,9,218806,210000
E01,2000-01-01,0,0,0
E02,2000-01-01,0,0,0
E03,2000-01-01,17,113529,110000
E04,2000-01-01,8,119767,125500
E05,2000-01-01,34,167962,146750
E06,2000-01-01,2,164250,164250
E07,2000-01-01,28,131550,127250
E08,2000-01-01,15,123093,119900
E09,2000-01-01,17,147871,151000
E10,2000-01-01,2,90750,90750
E11,2000-01-01,13,107577,103000
W01,2000-01-01,7,173700,168000
W02,2000-01-01,1,261000,261000
W03,2000-01-01,2,155500,155500
W04,2000-01-01,12,99792,102750
W05,2000-01-01,16,99006,99800
W06,2000-01-01,8,306000,201500
W07,2000-01-01,2,181500,181500
W08,2000-01-01,15,220260,161000
W09,2000-01-01,14,127000,93000
W10,2000-01-01,31,114566,118000
