Area,Date,Sales,Avg_Price,Med_Price
C01,2017-06-01,461,607202,535000
C02,2017-06-01,34,1557950,935000
C03,2017-06-01,11,774818,635000
C04,2017-06-01,12,809208,610500
C06,2017-06-01,19,484113,449000
C07,2017-06-01,58,572227,515000
C08,2017-06-01,183,600556,553100
C09,2017-06-01,12,1293403,957000
C10,2017-06-01,36,653464,567500
C11,2017-06-01,28,380439,379250
C12,2017-06-01,6,943375,904000
C13,2017-06-01,43,490457,412000
C14,2017-06-01,103,530914,505000
C15,2017-06-01,92,495511,436500
E01,2017-06-01,14,585357,527000
E02,2017-06-01,7,668857,575000
E03,2017-06-01,13,317838,280000
E04,2017-06-01,43,323414,328000
E05,2017-06-01,21,436143,412000
E06,2017-06-01,3,454967,470000
E07,2017-06-01,42,368395,364000
E08,2017-06-01,14,329964,298750
E09,2017-06-01,44,398057,387500
E10,2017-06-01,5,251600,198000
E11,2017-06-01,35,324314,347265
W01,2017-06-01,54,531924,490000
W02,2017-06-01,21,542749,425000
W03,2017-06-01,7,413714,380000
W04,2017-06-01,25,336772,315000
W05,2017-06-01,20,362340,354000
W06,2017-06-01,102,517705,462750
W07,2017-06-01,4,621250,625000
W08,2017-06-01,83,488761,440000
W09,2017-06-01,19,340337,235000
W10,2017-06-01,28,280879,305000
