Area,Date,Sales,Avg_Price,Med_Price
C01,2018-09-01,339,691600,610000
C02,2018-09-01,40,1209938,822500
C03,2018-09-01,6,623083,623000
C04,2018-09-01,13,903386,729000
C06,2018-09-01,15,460927,440000
C07,2018-09-01,50,566120,528250
C08,2018-09-01,138,695740,636444
C09,2018-09-01,12,1474379,1160000
C10,2018-09-01,27,750125,667875
C11,2018-09-01,24,446538,394000
C12,2018-09-01,2,1117500,1117500
C13,2018-09-01,19,528226,431500
C14,2018-09-01,90,568475,547500
C15,2018-09-01,63,549716,475000
E01,2018-09-01,8,736338,675500
E02,2018-09-01,8,488675,466000
E03,2018-09-01,7,348714,343000
E04,2018-09-01,17,350659,350000
E05,2018-09-01,25,434968,426500
E06,2018-09-01,3,536333,545000
E07,2018-09-01,27,387466,385000
E08,2018-09-01,13,364915,369000
E09,2018-09-01,39,406156,420000
E10,2018-09-01,2,297500,297500
E11,2018-09-01,9,326111,305000
W01,2018-09-01,33,629045,547000
W02,2018-09-01,11,656032,631500
W03,2018-09-01,7,500643,528000
W04,2018-09-01,27,423841,425000
W05,2018-09-01,24,358566,352500
W06,2018-09-01,80,618546,557500
W07,2018-09-01,1,510000,510000
W08,2018-09-01,66,499903,467450
W09,2018-09-01,12,372000,271500
W10,2018-09-01,25,345652,355000
