Area,Date,Sales,Avg_Price,Med_Price
C01,2002-03-01,161,259235,230000
C02,2002-03-01,25,255924,213000
C03,2002-03-01,4,452500,475000
C04,2002-03-01,16,269031,206000
C06,2002-03-01,1,200000,200000
C07,2002-03-01,29,245185,232000
C08,2002-03-01,100,241928,224000
C09,2002-03-01,11,329470,300000
C10,2002-03-01,19,260484,249900
C11,2002-03-01,25,150248,143000
C12,2002-03-01,7,527957,426800
C13,2002-03-01,30,205597,184500
C14,2002-03-01,78,244410,231400
C15,2002-03-01,30,214790,171249
E01,2002-03-01,4,224725,207500
E02,2002-03-01,4,271525,272550
E03,2002-03-01,40,140740,135694
E04,2002-03-01,47,144409,142000
E05,2002-03-01,46,194836,185400
E06,2002-03-01,3,165500,175000
E07,2002-03-01,43,163209,164500
E08,2002-03-01,36,146928,145000
E09,2002-03-01,48,166677,167000
E10,2002-03-01,1,135000,135000
E11,2002-03-01,43,140593,146500
W01,2002-03-01,13,210173,215000
W02,2002-03-01,1,307000,307000
W03,2002-03-01,10,152960,140750
W04,2002-03-01,27,134389,135000
W05,2002-03-01,45,121321,124000
W06,2002-03-01,44,263645,232750
W07,2002-03-01,3,260500,139000
W08,2002-03-01,34,225391,179950
W09,2002-03-01,23,129248,123000
W10,2002-03-01,48,136347,137625
