Area,Date,Sales,Avg_Price,Med_Price
C01,2001-11-01,98,229956,212000
C02,2001-11-01,19,346526,312000
C03,2001-11-01,0,0,0
C04,2001-11-01,13,220500,180000
C06,2001-11-01,1,210000,210000
C07,2001-11-01,28,233562,215600
C08,2001-11-01,88,210907,198750
C09,2001-11-01,6,258333,240000
C10,2001-11-01,25,334360,253000
C11,2001-11-01,19,133147,129000
C12,2001-11-01,2,449000,449000
C13,2001-11-01,15,213000,202000
C14,2001-11-01,56,224361,215250
C15,2001-11-01,34,238709,186500
E01,2001-11-01,3,248333,224000
E02,2001-11-01,2,250500,250500
E03,2001-11-01,40,142860,133750
E04,2001-11-01,20,145920,144000
E05,2001-11-01,36,177293,166950
E06,2001-11-01,0,0,0
E07,2001-11-01,39,162330,163500
E08,2001-11-01,35,135864,138000
E09,2001-11-01,36,158780,157500
E10,2001-11-01,2,120000,120000
E11,2001-11-01,20,132678,140000
W01,2001-11-01,16,208459,183500
W02,2001-11-01,1,265000,265000
W03,2001-11-01,8,170313,166000
W04,2001-11-01,13,122431,127200
W05,2001-11-01,24,110833,119500
W06,2001-11-01,34,289382,226000
W07,2001-11-01,3,186833,185000
W08,2001-11-01,28,182739,169500
W09,2001-11-01,26,115471,103250
W10,2001-11-01,49,129427,132400
