Area,Date,Sales,Avg_Price,Med_Price
C01,2003-12-01,121,238181,215000
C02,2003-12-01,21,404781,360000
C03,2003-12-01,3,736667,515000
C04,2003-12-01,6,188167,182000
C06,2003-12-01,3,198000,180000
C07,2003-12-01,36,237730,230000
C08,2003-12-01,66,231869,219000
C09,2003-12-01,10,314600,262500
C10,2003-12-01,15,274967,255000
C11,2003-12-01,12,166792,154500
C12,2003-12-01,1,310000,310000
C13,2003-12-01,19,220084,216000
C14,2003-12-01,61,234111,222000
C15,2003-12-01,28,219496,180500
E01,2003-12-01,5,284800,250000
E02,2003-12-01,2,197500,197500
E03,2003-12-01,15,150533,144000
E04,2003-12-01,24,143929,145000
E05,2003-12-01,28,181179,175500
E06,2003-12-01,0,0,0
E07,2003-12-01,38,171355,170500
E08,2003-12-01,20,145165,154000
E09,2003-12-01,29,173880,178250
E10,2003-12-01,1,167000,167000
E11,2003-12-01,15,146327,159000
W01,2003-12-01,8,219925,208250
W02,2003-12-01,4,249000,248000
W03,2003-12-01,7,178900,203500
W04,2003-12-01,15,136787,132300
W05,2003-12-01,11,144727,156500
W06,2003-12-01,36,295653,227500
W07,2003-12-01,2,177500,177500
W08,2003-12-01,17,210118,175000
W09,2003-12-01,16,153983,122000
W10,2003-12-01,33,143555,148500
