Area,Date,Sales,Avg_Price,Med_Price
C01,2006-09-01,197,286834,258000
C02,2006-09-01,22,374114,365750
C03,2006-09-01,7,617509,621000
C04,2006-09-01,15,272433,277000
C06,2006-09-01,9,233100,227000
C07,2006-09-01,45,251271,240100
C08,2006-09-01,78,289409,272000
C09,2006-09-01,11,441318,338000
C10,2006-09-01,21,305480,279000
C11,2006-09-01,10,203800,194500
C12,2006-09-01,6,708983,400450
C13,2006-09-01,24,234221,209000
C14,2006-09-01,137,261784,243500
C15,2006-09-01,37,227654,195000
E01,2006-09-01,3,292000,250000
E02,2006-09-01,6,291417,250250
E03,2006-09-01,17,145782,127000
E04,2006-09-01,20,173893,164500
E05,2006-09-01,36,200150,189000
E06,2006-09-01,2,219900,219900
E07,2006-09-01,30,174720,176500
E08,2006-09-01,29,154531,132500
E09,2006-09-01,45,194602,192000
E10,2006-09-01,2,158000,158000
E11,2006-09-01,16,130406,138500
W01,2006-09-01,9,234128,221250
W02,2006-09-01,4,279125,270750
W03,2006-09-01,7,195214,196500
W04,2006-09-01,16,135500,122750
W05,2006-09-01,14,121071,117250
W06,2006-09-01,55,264220,239000
W07,2006-09-01,5,222600,222500
W08,2006-09-01,30,238764,215500
W09,2006-09-01,15,176767,131000
W10,2006-09-01,31,156313,146000
