Area,Date,Sales,Avg_Price,Med_Price
C01,2002-05-01,168,259608,217500
C02,2002-05-01,25,442808,335000
C03,2002-05-01,4,395000,407500
C04,2002-05-01,17,299912,250000
C06,2002-05-01,4,204209,194167
C07,2002-05-01,40,247436,225000
C08,2002-05-01,98,249470,224500
C09,2002-05-01,13,333877,320000
C10,2002-05-01,20,253788,243625
C11,2002-05-01,28,152261,136750
C12,2002-05-01,5,766600,470000
C13,2002-05-01,20,242764,225250
C14,2002-05-01,87,238937,237000
C15,2002-05-01,32,234388,204500
E01,2002-05-01,1,180000,180000
E02,2002-05-01,5,296180,275000
E03,2002-05-01,31,162819,154000
E04,2002-05-01,29,142133,145000
E05,2002-05-01,55,191354,170000
E06,2002-05-01,6,187583,179500
E07,2002-05-01,55,173369,173000
E08,2002-05-01,32,153872,161194
E09,2002-05-01,37,171770,171000
E10,2002-05-01,3,137667,135000
E11,2002-05-01,26,141430,142044
W01,2002-05-01,12,208542,197050
W02,2002-05-01,3,257667,235000
W03,2002-05-01,8,156938,148750
W04,2002-05-01,20,136738,142750
W05,2002-05-01,42,118651,126500
W06,2002-05-01,52,282306,262000
W07,2002-05-01,8,235969,212500
W08,2002-05-01,46,194922,167250
W09,2002-05-01,24,150171,118000
W10,2002-05-01,59,134767,135000
