Area,Date,Sales,Avg_Price,Med_Price
C01,2002-08-01,130,250725,227000
C02,2002-08-01,14,297143,202500
C03,2002-08-01,5,409520,440000
C04,2002-08-01,11,247663,255000
C06,2002-08-01,2,183250,183250
C07,2002-08-01,32,229159,211500
C08,2002-08-01,67,226740,218000
C09,2002-08-01,11,337927,359000
C10,2002-08-01,17,310735,265000
C11,2002-08-01,16,160331,138500
C12,2002-08-01,3,301667,360000
C13,2002-08-01,15,221413,212000
C14,2002-08-01,62,242447,233000
C15,2002-08-01,16,187831,184500
E01,2002-08-01,0,0,0
E02,2002-08-01,4,258125,217500
E03,2002-08-01,33,145862,145000
E04,2002-08-01,28,146886,149250
E05,2002-08-01,26,200277,194000
E06,2002-08-01,1,184900,184900
E07,2002-08-01,34,176112,173750
E08,2002-08-01,22,151150,157750
E09,2002-08-01,25,166140,164000
E10,2002-08-01,2,128200,128200
E11,2002-08-01,30,142966,147000
W01,2002-08-01,5,234500,227000
W02,2002-08-01,2,310000,310000
W03,2002-08-01,9,149067,145000
W04,2002-08-01,16,142219,140000
W05,2002-08-01,27,128211,131000
W06,2002-08-01,20,273148,258000
W07,2002-08-01,4,236000,211000
W08,2002-08-01,25,212918,166000
W09,2002-08-01,17,153029,120000
W10,2002-08-01,34,134360,135000
