Area,Date,Sales,Avg_Price,Med_Price
C01,2011-07-01,365,411862,369900
C02,2011-07-01,25,626868,500000
C03,2011-07-01,13,540877,499900
C04,2011-07-01,18,341972,286500
C06,2011-07-01,8,327688,325250
C07,2011-07-01,63,374168,368000
C08,2011-07-01,138,383360,360000
C09,2011-07-01,11,720273,740000
C10,2011-07-01,49,572173,439000
C11,2011-07-01,20,229310,216000
C12,2011-07-01,7,534214,547000
C13,2011-07-01,26,275288,254000
C14,2011-07-01,148,382793,355000
C15,2011-07-01,50,317184,293250
E01,2011-07-01,8,452538,409950
E02,2011-07-01,10,440930,420750
E03,2011-07-01,20,187970,157750
E04,2011-07-01,32,200465,203500
E05,2011-07-01,43,246702,236900
E06,2011-07-01,4,334225,357450
E07,2011-07-01,34,217353,225125
E08,2011-07-01,22,171334,170000
E09,2011-07-01,59,238508,233800
E10,2011-07-01,2,118750,118750
E11,2011-07-01,23,169143,160000
W01,2011-07-01,37,316084,305000
W02,2011-07-01,12,372900,377000
W03,2011-07-01,4,215375,194500
W04,2011-07-01,20,184525,188500
W05,2011-07-01,18,152472,137500
W06,2011-07-01,49,383905,346000
W07,2011-07-01,22,344798,319500
W08,2011-07-01,41,296474,271000
W09,2011-07-01,18,161333,118000
W10,2011-07-01,33,186621,167500
