Area,Date,Sales,Avg_Price,Med_Price
C01,2012-12-01,141,429829,370000
C02,2012-12-01,15,543027,478000
C03,2012-12-01,4,437000,405000
C04,2012-12-01,10,586200,246000
C06,2012-12-01,7,320913,317500
C07,2012-12-01,29,315779,293000
C08,2012-12-01,69,415350,345000
C09,2012-12-01,7,483143,396000
C10,2012-12-01,17,432129,405000
C11,2012-12-01,10,220130,211000
C12,2012-12-01,3,634333,580000
C13,2012-12-01,16,305488,272450
C14,2012-12-01,61,366116,356000
C15,2012-12-01,36,320064,306500
E01,2012-12-01,5,360080,400400
E02,2012-12-01,8,390813,353250
E03,2012-12-01,9,190444,140000
E04,2012-12-01,20,186395,154250
E05,2012-12-01,16,244725,227000
E06,2012-12-01,0,0,0
E07,2012-12-01,16,220825,226600
E08,2012-12-01,8,141750,143500
E09,2012-12-01,22,227932,234500
E10,2012-12-01,3,101333,82000
E11,2012-12-01,6,165958,180375
W01,2012-12-01,12,398956,347000
W02,2012-12-01,7,295343,270000
W03,2012-12-01,5,278700,295000
W04,2012-12-01,11,202282,182500
W05,2012-12-01,21,164645,132500
W06,2012-12-01,26,372689,330850
W07,2012-12-01,1,385000,385000
W08,2012-12-01,39,290254,278000
W09,2012-12-01,8,96016,103565
W10,2012-12-01,12,148000,145750
