Area,Date,Sales,Avg_Price,Med_Price
C01,2019-08-01,339,715921,650000
C02,2019-08-01,34,946188,715000
C03,2019-08-01,9,868083,870000
C04,2019-08-01,8,921625,779000
C06,2019-08-01,11,524727,491000
C07,2019-08-01,51,613144,542900
C08,2019-08-01,139,713685,630000
C09,2019-08-01,8,1225016,1061000
C10,2019-08-01,33,662391,645000
C11,2019-08-01,17,458000,450000
C12,2019-08-01,5,734000,650000
C13,2019-08-01,23,578861,480000
C14,2019-08-01,109,648499,580000
C15,2019-08-01,108,555340,519500
E01,2019-08-01,9,731057,602500
E02,2019-08-01,2,492250,492250
E03,2019-08-01,9,380889,378000
E04,2019-08-01,28,403875,391500
E05,2019-08-01,32,457391,444000
E06,2019-08-01,5,479580,435000
E07,2019-08-01,35,431990,436000
E08,2019-08-01,22,399014,371600
E09,2019-08-01,61,446172,436000
E10,2019-08-01,5,359180,367500
E11,2019-08-01,21,375400,393000
W01,2019-08-01,20,719525,636500
W02,2019-08-01,15,718627,583800
W03,2019-08-01,5,580400,635000
W04,2019-08-01,23,437991,443900
W05,2019-08-01,21,398357,398000
W06,2019-08-01,78,626816,584419
W07,2019-08-01,3,695667,501000
W08,2019-08-01,78,576783,505500
W09,2019-08-01,10,453700,455000
W10,2019-08-01,34,373170,377505
