Area,Date,Sales,Avg_Price,Med_Price
C01,2002-09-01,146,243941,227200
C02,2002-09-01,25,348544,287000
C03,2002-09-01,4,308125,288750
C04,2002-09-01,12,333208,307250
C06,2002-09-01,1,177000,177000
C07,2002-09-01,33,224133,211000
C08,2002-09-01,63,228347,213000
C09,2002-09-01,6,449317,407450
C10,2002-09-01,17,243012,238800
C11,2002-09-01,20,123040,114500
C12,2002-09-01,0,0,0
C13,2002-09-01,18,235591,202995
C14,2002-09-01,65,251938,230000
C15,2002-09-01,13,196369,185000
E01,2002-09-01,3,157333,207000
E02,2002-09-01,1,314000,314000
E03,2002-09-01,34,161082,152250
E04,2002-09-01,19,155705,160000
E05,2002-09-01,37,188657,185000
E06,2002-09-01,1,289900,289900
E07,2002-09-01,30,169647,165900
E08,2002-09-01,16,161175,145450
E09,2002-09-01,33,174881,168000
E10,2002-09-01,4,131375,133750
E11,2002-09-01,14,139207,140950
W01,2002-09-01,12,231108,218250
W02,2002-09-01,3,267000,314000
W03,2002-09-01,5,171200,170000
W04,2002-09-01,13,126508,134000
W05,2002-09-01,12,127717,133000
W06,2002-09-01,25,315152,223000
W07,2002-09-01,2,316500,316500
W08,2002-09-01,34,221394,182000
W09,2002-09-01,21,136640,111000
W10,2002-09-01,38,138955,140500
