Area,Date,Sales,Avg_Price,Med_Price
C01,2009-03-01,209,338587,295000
C02,2009-03-01,24,554190,347500
C03,2009-03-01,7,484571,455000
C04,2009-03-01,16,303313,270000
C06,2009-03-01,7,261357,270000
C07,2009-03-01,63,285086,270000
C08,2009-03-01,93,306700,279900
C09,2009-03-01,4,403073,375500
C10,2009-03-01,50,371079,333500
C11,2009-03-01,10,155117,136500
C12,2009-03-01,1,313500,313500
C13,2009-03-01,14,250429,241500
C14,2009-03-01,84,296833,266250
C15,2009-03-01,27,264141,230000
E01,2009-03-01,4,338125,335000
E02,2009-03-01,5,382780,349900
E03,2009-03-01,21,150999,137500
E04,2009-03-01,15,135773,139000
E05,2009-03-01,24,200735,183500
E06,2009-03-01,2,263000,263000
E07,2009-03-01,28,175600,173300
E08,2009-03-01,22,161141,154450
E09,2009-03-01,40,205963,216000
E10,2009-03-01,2,116750,116750
E11,2009-03-01,13,116369,105500
W01,2009-03-01,15,314327,279000
W02,2009-03-01,13,285508,335000
W03,2009-03-01,11,192955,200000
W04,2009-03-01,15,171939,165000
W05,2009-03-01,21,132371,135000
W06,2009-03-01,35,290661,255000
W07,2009-03-01,12,302417,242500
W08,2009-03-01,25,224574,200000
W09,2009-03-01,17,125382,92000
W10,2009-03-01,37,159369,153000
