Area,Date,Sales,Avg_Price,Med_Price
C01,2019-07-01,407,692592,641000
C02,2019-07-01,50,1313284,947509
C03,2019-07-01,8,787224,760450
C04,2019-07-01,18,547933,542500
C06,2019-07-01,18,544733,540000
C07,2019-07-01,69,622792,575000
C08,2019-07-01,167,711403,675000
C09,2019-07-01,7,1032429,890000
C10,2019-07-01,50,714707,646500
C11,2019-07-01,19,454368,440000
C12,2019-07-01,8,916988,884950
C13,2019-07-01,29,512241,462500
C14,2019-07-01,86,615330,580500
C15,2019-07-01,89,557808,510000
E01,2019-07-01,18,800172,752500
E02,2019-07-01,8,766219,660125
E03,2019-07-01,11,472127,385000
E04,2019-07-01,29,402379,405000
E05,2019-07-01,39,451718,420000
E06,2019-07-01,5,661700,585000
E07,2019-07-01,45,429551,428000
E08,2019-07-01,16,424344,398500
E09,2019-07-01,57,452240,443000
E10,2019-07-01,4,340750,367500
E11,2019-07-01,20,377295,392500
W01,2019-07-01,34,656260,641750
W02,2019-07-01,24,676758,612000
W03,2019-07-01,6,474250,438750
W04,2019-07-01,26,466390,425000
W05,2019-07-01,25,389516,375000
W06,2019-07-01,94,610087,556000
W07,2019-07-01,2,535000,535000
W08,2019-07-01,90,526775,488000
W09,2019-07-01,11,418168,335000
W10,2019-07-01,28,389196,387500
