Area,Date,Sales,Avg_Price,Med_Price
C01,2019-04-01,384,715577,639000
C02,2019-04-01,46,1185364,862000
C03,2019-04-01,16,726946,697500
C04,2019-04-01,13,621469,535100
C06,2019-04-01,14,530143,557500
C07,2019-04-01,60,619366,605000
C08,2019-04-01,162,709817,630000
C09,2019-04-01,13,1570038,1108000
C10,2019-04-01,30,721764,616000
C11,2019-04-01,33,465780,436000
C12,2019-04-01,8,1255288,1212500
C13,2019-04-01,30,601880,555000
C14,2019-04-01,94,598679,559706
C15,2019-04-01,77,536175,501000
E01,2019-04-01,15,783063,772500
E02,2019-04-01,12,729342,716450
E03,2019-04-01,15,482480,361000
E04,2019-04-01,29,403496,401000
E05,2019-04-01,30,474190,461250
E06,2019-04-01,8,621682,580000
E07,2019-04-01,40,432088,422000
E08,2019-04-01,23,380611,374000
E09,2019-04-01,50,441950,432000
E10,2019-04-01,6,290667,287000
E11,2019-04-01,17,347776,329000
W01,2019-04-01,35,723734,661000
W02,2019-04-01,33,740933,604500
W03,2019-04-01,11,517364,548000
W04,2019-04-01,29,444359,436000
W05,2019-04-01,37,373714,377500
W06,2019-04-01,106,657930,570000
W07,2019-04-01,2,736500,736500
W08,2019-04-01,79,562164,516000
W09,2019-04-01,23,415304,380000
W10,2019-04-01,28,396757,402450
