Area,Date,Sales,Avg_Price,Med_Price
C01,2013-06-01,308,417955,373000
C02,2013-06-01,27,982654,525000
C03,2013-06-01,4,451125,458750
C04,2013-06-01,16,494013,422500
C06,2013-06-01,20,307365,294000
C07,2013-06-01,45,338918,318000
C08,2013-06-01,131,409142,372800
C09,2013-06-01,9,835333,601000
C10,2013-06-01,41,453088,425000
C11,2013-06-01,22,212891,186000
C12,2013-06-01,9,621967,544500
C13,2013-06-01,38,341051,312200
C14,2013-06-01,110,377675,354500
C15,2013-06-01,56,353394,303500
E01,2013-06-01,22,402050,388500
E02,2013-06-01,6,371333,358500
E03,2013-06-01,14,209929,148250
E04,2013-06-01,32,183918,165500
E05,2013-06-01,41,268605,265000
E06,2013-06-01,2,356000,356000
E07,2013-06-01,33,246115,243000
E08,2013-06-01,19,193732,183500
E09,2013-06-01,44,239259,241400
E10,2013-06-01,1,227000,227000
W01,2013-06-01,22,359037,347750
W02,2013-06-01,17,396288,343000
W03,2013-06-01,5,260600,245000
W04,2013-06-01,22,174552,166250
W05,2013-06-01,21,152895,144500
W06,2013-06-01,53,425935,345000
W07,2013-06-01,5,416500,392000
W08,2013-06-01,71,331044,310000
W09,2013-06-01,17,209382,237000
W10,2013-06-01,29,163483,172000
