Area,Date,Sales,Avg_Price,Med_Price
C01,2015-12-01,257,453450,400000
C02,2015-12-01,20,1004115,732500
C03,2015-12-01,4,624000,599000
C04,2015-12-01,8,325938,302500
C06,2015-12-01,13,377615,385000
C07,2015-12-01,38,437920,412750
C08,2015-12-01,93,483386,405000
C09,2015-12-01,8,536345,503000
C10,2015-12-01,12,531846,481500
C11,2015-12-01,12,313975,264000
C12,2015-12-01,3,1031333,773000
C13,2015-12-01,16,330913,309950
C14,2015-12-01,94,418860,389000
C15,2015-12-01,76,363979,342900
E01,2015-12-01,10,405946,426500
E02,2015-12-01,8,589313,499000
E03,2015-12-01,13,231315,196500
E04,2015-12-01,24,210033,202500
E05,2015-12-01,16,296088,295250
E06,2015-12-01,1,249000,249000
E07,2015-12-01,30,259750,274500
E08,2015-12-01,13,225692,201000
E09,2015-12-01,33,269045,272000
E10,2015-12-01,3,192633,183000
E11,2015-12-01,10,208610,240000
W01,2015-12-01,16,407963,330500
W02,2015-12-01,10,367720,342450
W03,2015-12-01,10,298700,286250
W04,2015-12-01,15,259833,256500
W05,2015-12-01,25,234466,218000
W06,2015-12-01,59,415656,365000
W07,2015-12-01,1,298000,298000
W08,2015-12-01,58,317432,309000
W09,2015-12-01,14,260557,249000
W10,2015-12-01,15,219387,230000
