Area,Date,Sales,Avg_Price,Med_Price
C01,2014-09-01,374,440375,381500
C02,2014-09-01,32,1136778,677000
C03,2014-09-01,7,618714,625000
C04,2014-09-01,14,570364,485500
C06,2014-09-01,14,307421,311450
C07,2014-09-01,53,362539,334500
C08,2014-09-01,126,458938,397000
C09,2014-09-01,9,646333,549000
C10,2014-09-01,23,469987,402000
C11,2014-09-01,22,255838,239250
C12,2014-09-01,9,649432,579000
C13,2014-09-01,40,359988,313000
C14,2014-09-01,92,398529,376900
C15,2014-09-01,61,389076,322500
E01,2014-09-01,11,500200,525000
E02,2014-09-01,6,483167,415000
E03,2014-09-01,8,266675,159950
E04,2014-09-01,30,194836,189500
E05,2014-09-01,33,295054,287990
E06,2014-09-01,9,431767,439900
E07,2014-09-01,39,248326,255000
E08,2014-09-01,18,231956,199500
E09,2014-09-01,64,271558,258400
E10,2014-09-01,1,200000,200000
E11,2014-09-01,9,174489,192500
W01,2014-09-01,19,400553,351000
W02,2014-09-01,14,422706,388500
W03,2014-09-01,3,236667,229000
W04,2014-09-01,23,191685,163250
W05,2014-09-01,23,214793,184000
W06,2014-09-01,50,381564,341500
W07,2014-09-01,4,538250,536000
W08,2014-09-01,95,323877,305000
W09,2014-09-01,13,225808,233000
W10,2014-09-01,28,180161,191750
