Area,Date,Sales,Avg_Price,Med_Price
C01,2006-01-01,146,312752,259250
C02,2006-01-01,21,520281,529000
C03,2006-01-01,3,422000,375000
C04,2006-01-01,20,255310,215000
C06,2006-01-01,4,230125,232500
C07,2006-01-01,30,278675,249250
C08,2006-01-01,69,254852,240000
C09,2006-01-01,8,271250,267500
C10,2006-01-01,15,318359,289000
C11,2006-01-01,8,153625,143750
C12,2006-01-01,0,0,0
C13,2006-01-01,18,252500,212500
C14,2006-01-01,78,258651,238000
C15,2006-01-01,26,229827,188250
E01,2006-01-01,6,287022,305522
E02,2006-01-01,5,285200,225000
E03,2006-01-01,22,169755,154750
E04,2006-01-01,11,141164,148000
E05,2006-01-01,18,195208,178000
E06,2006-01-01,1,245000,245000
E07,2006-01-01,13,171104,168000
E08,2006-01-01,10,135300,124250
E09,2006-01-01,36,186489,179000
E10,2006-01-01,4,142850,151250
E11,2006-01-01,16,137994,146500
W01,2006-01-01,8,315750,217500
W02,2006-01-01,8,238438,217750
W03,2006-01-01,4,187625,206250
W04,2006-01-01,16,136594,141000
W05,2006-01-01,13,136908,147000
W06,2006-01-01,22,295814,236000
W07,2006-01-01,9,287444,275000
W08,2006-01-01,17,343676,325000
W09,2006-01-01,15,173793,160000
W10,2006-01-01,29,140986,135000
