Area,Date,Sales,Avg_Price,Med_Price
C01,2004-07-01,200,239026,224200
C02,2004-07-01,26,549208,428450
C03,2004-07-01,13,515615,410000
C04,2004-07-01,12,205083,179500
C06,2004-07-01,4,200375,202250
C07,2004-07-01,50,226682,221000
C08,2004-07-01,87,242852,224900
C09,2004-07-01,13,405769,305000
C10,2004-07-01,30,252903,247500
C11,2004-07-01,13,158692,145000
C12,2004-07-01,7,555714,365000
C13,2004-07-01,22,246923,227000
C14,2004-07-01,118,241828,226250
C15,2004-07-01,42,249576,205000
E01,2004-07-01,2,290950,290950
E02,2004-07-01,4,281000,251000
E03,2004-07-01,34,159900,153750
E04,2004-07-01,41,149671,145000
E05,2004-07-01,46,191490,183750
E06,2004-07-01,6,240500,242500
E07,2004-07-01,34,171749,171250
E08,2004-07-01,20,147585,139000
E09,2004-07-01,48,176176,177100
E10,2004-07-01,0,0,0
E11,2004-07-01,13,144423,151500
W01,2004-07-01,13,245254,219900
W02,2004-07-01,2,293500,293500
W03,2004-07-01,11,167136,165000
W04,2004-07-01,17,127665,128500
W05,2004-07-01,38,140350,145600
W06,2004-07-01,36,281747,258750
W07,2004-07-01,7,220214,192000
W08,2004-07-01,38,190778,173450
W09,2004-07-01,17,159682,137000
W10,2004-07-01,27,146100,147400
