Area,Sales,Avg_Price,Med_Price
C-1,80,"194,816","163,500"
C-2,19,"342,913","183,000"
C-3,6,"250,139","250,500"
C-4,12,"247,979","154,750"
C-6,-,-,-
C-7,27,"190,241","182,000"
C-8,51,"151,849","135,000"
C-9,3,"576,667","270,000"
C-10,12,"203,548","170,775"
C-11,19,"97,064","86,000"
C-12,1,"1,260,000","1,260,000"
C-13,21,"224,862","170,800"
C-14,25,"188,208","175,000"
C-15,16,"135,069","119,050"
